OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,n_members
mortality (adult),mean duration for 100% mortality (unfed adults),weeks,Trait: mortality (adult). Definition: mean duration for 100% mortality (unfed adults). Unit: weeks.,16,29
longevity,mean duration of life stage as a function of body size,days,Trait: longevity. Definition: mean duration of life stage as a function of body size. Unit: days.,16,29
mortality,percentage not surviving life stage,percent,Trait: mortality. Definition: percentage not surviving life stage. Unit: percent.,16,29
longevity,mean duration of life,days,Trait: longevity. Definition: mean duration of life. Unit: days.,16,29
mortality,mean percent not surviving life stage,percent,Trait: mortality. Definition: mean percent not surviving life stage. Unit: percent.,16,29
longevity,percent not surviving life stage,days,Trait: longevity. Definition: percent not surviving life stage. Unit: days.,16,29
longevity,mean rate of life stage completion,days,Trait: longevity. Definition: mean rate of life stage completion. Unit: days.,16,29
longevity,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Trait: longevity. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days.,16,29
longevity,mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor),days,Trait: longevity. Definition: mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor). Unit: days.,16,29
longevity (apterous),mean duration of life stage,days,Trait: longevity (apterous). Definition: mean duration of life stage. Unit: days.,16,29
longevity (alate),mean duration of life stage,days,Trait: longevity (alate). Definition: mean duration of life stage. Unit: days.,16,29
adult longevity,lifespan over time,days,Trait: adult longevity. Definition: lifespan over time. Unit: days.,16,29
mean longevity,mean lifespan in days,days,Trait: mean longevity. Definition: mean lifespan in days. Unit: days.,16,29
Longevity,"sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive)",days,"Trait: Longevity. Definition: sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive). Unit: days.",16,29
longevity,individual-level duration of adult female life stage,days,Trait: longevity. Definition: individual-level duration of adult female life stage. Unit: days.,16,29
survival,proportion surviving life stage,proportion,Trait: survival. Definition: proportion surviving life stage. Unit: proportion.,17,6
survival,percent surviving life stage,percent,Trait: survival. Definition: percent surviving life stage. Unit: percent.,17,6
survival rate,percent surviving life stage,percent,Trait: survival rate. Definition: percent surviving life stage. Unit: percent.,17,6
survival,proportion of individuals surviving life stage (emergence rate),proportion,Trait: survival. Definition: proportion of individuals surviving life stage (emergence rate). Unit: proportion.,17,6
survival,percentage of individuals surviving life stage (emergence rate),individuals,Trait: survival. Definition: percentage of individuals surviving life stage (emergence rate). Unit: individuals.,17,6
survival rate,mean percentage surviving life stage,percent,Trait: survival rate. Definition: mean percentage surviving life stage. Unit: percent.,17,6
survival rate,percentage of ticks that survived the larval stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the larval stage. Unit: percent.,18,12
survival rate,percentage of ticks that survived the larval moult,percent,Trait: survival rate. Definition: percentage of ticks that survived the larval moult. Unit: percent.,18,12
survival rate,percentage of ticks that survived the nymphal moult,percent,Trait: survival rate. Definition: percentage of ticks that survived the nymphal moult. Unit: percent.,18,12
survival rate,percentage of ticks that survived adult engorgement,percent,Trait: survival rate. Definition: percentage of ticks that survived adult engorgement. Unit: percent.,18,12
survival rate,percentage of ticks that survived the nymphal stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the nymphal stage. Unit: percent.,18,12
survival rate,percentage of ticks that survived the adult stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the adult stage. Unit: percent.,18,12
survival rate,percentage of starved larval ticks that survived to the days listed,percent,Trait: survival rate. Definition: percentage of starved larval ticks that survived to the days listed. Unit: percent.,18,12
survival rate,percentage of ticks that survived at 5 degrees celcius,percent,Trait: survival rate. Definition: percentage of ticks that survived at 5 degrees celcius. Unit: percent.,18,12
survival rate,percentage of ticks that survived at 17 degrees celcius,percent,Trait: survival rate. Definition: percentage of ticks that survived at 17 degrees celcius. Unit: percent.,18,12
survival rate,percentage of ticks that survived at 24 degrees celcius,percent,Trait: survival rate. Definition: percentage of ticks that survived at 24 degrees celcius. Unit: percent.,18,12
survival rate,percentage of ticks that survived at 30 degrees celcius,percent,Trait: survival rate. Definition: percentage of ticks that survived at 30 degrees celcius. Unit: percent.,18,12
survival rate,percentage of larval ticks that molted following engorgement,percent,Trait: survival rate. Definition: percentage of larval ticks that molted following engorgement. Unit: percent.,18,12
prefeeding period (larval),mean duration of life stage,days,Trait: prefeeding period (larval). Definition: mean duration of life stage. Unit: days.,19,8
feeding period (larval),mean duration of life stage,days,Trait: feeding period (larval). Definition: mean duration of life stage. Unit: days.,19,8
prefeeding period (nymphal),mean duration of life stage,days,Trait: prefeeding period (nymphal). Definition: mean duration of life stage. Unit: days.,19,8
feeding period (nymphal),mean duration of life stage,days,Trait: feeding period (nymphal). Definition: mean duration of life stage. Unit: days.,19,8
prefeeding period (adult),mean duration of life stage,days,Trait: prefeeding period (adult). Definition: mean duration of life stage. Unit: days.,19,8
feeding period (adult),mean duration of life stage,days,Trait: feeding period (adult). Definition: mean duration of life stage. Unit: days.,19,8
feeding period,mean Feeding Period in days at nymph state at constant temps,days,Trait: feeding period. Definition: mean Feeding Period in days at nymph state at constant temps. Unit: days.,19,8
feeding period,mean time required for nymphs to feed,days,Trait: feeding period. Definition: mean time required for nymphs to feed. Unit: days.,19,8
premolt period (nymphal),mean duration of nymphal premolting phase,days,Trait: premolt period (nymphal). Definition: mean duration of nymphal premolting phase. Unit: days.,20,12
premolt period (larval),mean duration of larval premolting phase,days,Trait: premolt period (larval). Definition: mean duration of larval premolting phase. Unit: days.,20,12
molting time,mean duration of nymphal molting phase,days,Trait: molting time. Definition: mean duration of nymphal molting phase. Unit: days.,20,12
premolt period (nymphal),mean time to complete nymphal moulting,days,Trait: premolt period (nymphal). Definition: mean time to complete nymphal moulting. Unit: days.,20,12
premolt period (larval),mean time to complete larval moulting,days,Trait: premolt period (larval). Definition: mean time to complete larval moulting. Unit: days.,20,12
premolt period (larval),mean duration of life stage,days,Trait: premolt period (larval). Definition: mean duration of life stage. Unit: days.,20,12
premolt period,mean duration of life stage,days,Trait: premolt period. Definition: mean duration of life stage. Unit: days.,20,12
premolt period (nymphal),mean duration of life stage,days,Trait: premolt period (nymphal). Definition: mean duration of life stage. Unit: days.,20,12
molting period (nymphal),mean duration of life stage,days,Trait: molting period (nymphal). Definition: mean duration of life stage. Unit: days.,20,12
premolting period,mean Premolting Period in days at larval state at const temps,days,Trait: premolting period. Definition: mean Premolting Period in days at larval state at const temps. Unit: days.,20,12
premolting period,mean Premolting Period in days at nymph state at constant temps,days,Trait: premolting period. Definition: mean Premolting Period in days at nymph state at constant temps. Unit: days.,20,12
moulting period,mean time required for nymphs to moult,days,Trait: moulting period. Definition: mean time required for nymphs to moult. Unit: days.,20,12
