query_trait,ontology,term_id,term_label,term_definition
blood feeding,PATO,UBERON:0001969,blood plasma,"The liquid component of blood, in which erythrocytes are suspended."
blood feeding frequency,OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.
blood feeding frequency,OBA,OBA:0002283,defecation frequency,The frequency of a defecation.
blood feeding frequency,OBA,OBA:0003672,micturition frequency,The frequency of a micturition.
blood feeding frequency,OBA,OBA:0004805,fertilization frequency,The frequency of a fertilization.
blood feeding frequency,OBA,OBA:0000060,cilium beat frequency,check this
blood feeding frequency,PATO,PATO:0000044,frequency,A physical quality which inheres in a bearer by virtue of the number of the bearer's repetitive actions in a particular time.
blood feeding frequency,PATO,PATO:0000380,increased frequency,A frequency which is relatively high.
blood feeding frequency,PATO,PATO:0000381,decreased frequency,A frequency which is relatively low.
blood feeding frequency,PATO,PATO:0001520,sound frequency,The frequency of transmitted vibrations.
blood feeding frequency,PATO,PATO:0045087,normal frequency,A frequency which is relatively normal.
bloodmeal weight,OBA,OBA:VT0004257,placenta mass,The mass of a placenta.
bloodmeal weight,OBA,OBA:2057477,level of low molecular weight phosphotyrosine protein phosphatase (human) in cerebrospinal fluid,The amount of a low molecular weight phosphotyrosine protein phosphatase (human) when measured in cerebrospinal fluid.
bloodmeal weight,OBA,HP:0001824,Weight loss,NA
bloodmeal weight,OBA,HP:0004324,Increased body weight,Abnormally increased body weight.
bloodmeal weight,OBA,HP:0004325,Decreased body weight,Abnormally low body weight.
