OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,uncertainty
incubation period,median time from oviposition to hatching,days,Trait: incubation period. Definition: median time from oviposition to hatching. Unit: days.,18,1.5543122344752192e-15
incubation period,time from start of oviposition until first eggs hatched,days,Trait: incubation period. Definition: time from start of oviposition until first eggs hatched. Unit: days.,18,0
incubation period,mean duration from oviposition to hatching,days,Trait: incubation period. Definition: mean duration from oviposition to hatching. Unit: days.,18,0
Incubation Period,Incubation period of ticks held at constant temperature,days,Trait: Incubation Period. Definition: Incubation period of ticks held at constant temperature. Unit: days.,18,2.4662212272374973e-9
incubation period,mean Incubation Period in days from egg to larvae at constant temps,days,Trait: incubation period. Definition: mean Incubation Period in days from egg to larvae at constant temps. Unit: days.,18,0
incubation period,mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva),days,Trait: incubation period. Definition: mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva). Unit: days.,18,0
incubation period,mean egg incubation period,days,Trait: incubation period. Definition: mean egg incubation period. Unit: days.,18,0
incubation period,Mean Incubation Period,days,Trait: incubation period. Definition: Mean Incubation Period. Unit: days.,18,1.6719958750854857e-13
premolt period (nymphal),mean duration of nymphal premolting phase,days,Trait: premolt period (nymphal). Definition: mean duration of nymphal premolting phase. Unit: days.,19,0
premolt period (larval),mean duration of larval premolting phase,days,Trait: premolt period (larval). Definition: mean duration of larval premolting phase. Unit: days.,19,0
premolt period (nymphal),mean time to complete nymphal moulting,days,Trait: premolt period (nymphal). Definition: mean time to complete nymphal moulting. Unit: days.,19,0
premolt period (larval),mean time to complete larval moulting,days,Trait: premolt period (larval). Definition: mean time to complete larval moulting. Unit: days.,19,0
premolt period (larval),mean duration of life stage,days,Trait: premolt period (larval). Definition: mean duration of life stage. Unit: days.,19,0
premolt period,mean duration of life stage,days,Trait: premolt period. Definition: mean duration of life stage. Unit: days.,19,0
premolt period (nymphal),mean duration of life stage,days,Trait: premolt period (nymphal). Definition: mean duration of life stage. Unit: days.,19,0
weight loss,nymphal weight loss during molting stage,percent,Trait: weight loss. Definition: nymphal weight loss during molting stage. Unit: percent.,20,0
weight loss,Percentage loss in body weight during larval prefeeding period,percent,Trait: weight loss. Definition: Percentage loss in body weight during larval prefeeding period. Unit: percent.,20,0
weight loss,Percentage loss in body weight during larval molting period,percent,Trait: weight loss. Definition: Percentage loss in body weight during larval molting period. Unit: percent.,20,0
weight loss,Percentage loss in body weight during nymphal prefeeding period,percent,Trait: weight loss. Definition: Percentage loss in body weight during nymphal prefeeding period. Unit: percent.,20,0
weight loss,Percentage loss in body weight during nymphal molting period,percent,Trait: weight loss. Definition: Percentage loss in body weight during nymphal molting period. Unit: percent.,20,0
survival rate,percentage of ticks that survived the larval stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the larval stage. Unit: percent.,21,0
survival rate,percentage of ticks that survived the larval moult,percent,Trait: survival rate. Definition: percentage of ticks that survived the larval moult. Unit: percent.,21,0
survival rate,percentage of ticks that survived the nymphal moult,percent,Trait: survival rate. Definition: percentage of ticks that survived the nymphal moult. Unit: percent.,21,0
survival rate,percentage of ticks that survived adult engorgement,percent,Trait: survival rate. Definition: percentage of ticks that survived adult engorgement. Unit: percent.,21,0
survival rate,percentage of ticks that survived the nymphal stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the nymphal stage. Unit: percent.,21,0
survival rate,percentage of ticks that survived the adult stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the adult stage. Unit: percent.,21,0
survival rate,percentage of larval ticks that molted following engorgement,percent,Trait: survival rate. Definition: percentage of larval ticks that molted following engorgement. Unit: percent.,21,0
survival time,mean survival time of fasting larvae,days,Trait: survival time. Definition: mean survival time of fasting larvae. Unit: days.,22,0
survival time,mean survival time of larvae post hatch,days,Trait: survival time. Definition: mean survival time of larvae post hatch. Unit: days.,22,0
survival time,mean survival time of fasting nymphs,days,Trait: survival time. Definition: mean survival time of fasting nymphs. Unit: days.,22,0
survival time,mean time for egg survival,days,Trait: survival time. Definition: mean time for egg survival. Unit: days.,22,4.218847493575595e-15
survival time,mean time for unfed larva survival,days,Trait: survival time. Definition: mean time for unfed larva survival. Unit: days.,22,0
survival time,mean time for engorged nymph survival,days,Trait: survival time. Definition: mean time for engorged nymph survival. Unit: days.,22,0
survival time,mean time for unfed adult survival,days,Trait: survival time. Definition: mean time for unfed adult survival. Unit: days.,22,0
survival time,mean time for engorged adult survival,days,Trait: survival time. Definition: mean time for engorged adult survival. Unit: days.,22,0
survival time,average number of days unfed nymphs survived,days,Trait: survival time. Definition: average number of days unfed nymphs survived. Unit: days.,22,0
egg mass,mean egg mass weight,mg,Trait: egg mass. Definition: mean egg mass weight. Unit: mg.,23,0
egg mass,mean weight of eggs,mg,Trait: egg mass. Definition: mean weight of eggs. Unit: mg.,23,0
molt success rate (larval),percentage that molted,percent,Trait: molt success rate (larval). Definition: percentage that molted. Unit: percent.,24,0
molt success rate (nymphal),percentage that molted,percent,Trait: molt success rate (nymphal). Definition: percentage that molted. Unit: percent.,24,0
molt success rate (larval),percentage that molted during life stage,percent,Trait: molt success rate (larval). Definition: percentage that molted during life stage. Unit: percent.,24,0
molt success rate (nymphal),percentage that molted during life stage,percent,Trait: molt success rate (nymphal). Definition: percentage that molted during life stage. Unit: percent.,24,0
longevity,aphid lifespan,days,Trait: longevity. Definition: aphid lifespan. Unit: days.,25,0
longevity,lifespan of aphids,days,Trait: longevity. Definition: lifespan of aphids. Unit: days.,25,0
aphid longevity,lifespan of aphids,days,Trait: aphid longevity. Definition: lifespan of aphids. Unit: days.,25,0
weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg.,26,0
weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg.,26,0
weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg.,26,0
Weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg.,26,0
Weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg.,26,0
Weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg.,26,0
survival rate,percentage of ticks that survived at 5 degrees celcius,percent,Trait: survival rate. Definition: percentage of ticks that survived at 5 degrees celcius. Unit: percent.,27,0
survival rate,percentage of ticks that survived at 17 degrees celcius,percent,Trait: survival rate. Definition: percentage of ticks that survived at 17 degrees celcius. Unit: percent.,27,0
survival rate,percentage of ticks that survived at 24 degrees celcius,percent,Trait: survival rate. Definition: percentage of ticks that survived at 24 degrees celcius. Unit: percent.,27,0
survival rate,percentage of ticks that survived at 30 degrees celcius,percent,Trait: survival rate. Definition: percentage of ticks that survived at 30 degrees celcius. Unit: percent.,27,0
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Trait: Questing Height. Definition: questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm.,28,0
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Trait: Questing Height. Definition: questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm.,28,0
Mortality Rate,number that survived the 38 hours,count,Trait: Mortality Rate. Definition: number that survived the 38 hours. Unit: count.,29,0
Mortality Rate,number that survived the 43 hours,count,Trait: Mortality Rate. Definition: number that survived the 43 hours. Unit: count.,29,0
