OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
Unsuccessful Attack Probability of Trial,Probability of a consumer-resource experimental trial including attacks that did not result in consumption of the resource (each trial consisted of multiple attacks),percent / 1 individual,Cypriniformes,Cyprinidae,adult,Trait: Unsuccessful Attack Probability of Trial. Definition: Probability of a consumer-resource experimental trial including attacks that did not result in consumption of the resource (each trial consisted of multiple attacks). Unit: percent / 1 individual. Organism order: Cypriniformes. Organism family: Cyprinidae.,v5,12
Voluntary Walk/Run Probability,"Proportion of time organism spends walking or running (i.e., fast directed movement with little turning) over actual observation time",proportion / 1 individual,Coleoptera,Carabidae,adult,"Trait: Voluntary Walk/Run Probability. Definition: Proportion of time organism spends walking or running (i.e., fast directed movement with little turning) over actual observation time. Unit: proportion / 1 individual. Organism order: Coleoptera. Organism family: Carabidae.",v5,4
Capture Rate,Per-capita rate of captures in encounters between consumer and resource number,event / (1 individual * 1 individual * 8 hour),Decapoda,Crangonidae,adult,Trait: Capture Rate. Definition: Per-capita rate of captures in encounters between consumer and resource number. Unit: event / (1 individual * 1 individual * 8 hour). Organism order: Decapoda. Organism family: Crangonidae.,v5,-1
Random Resource Encounter Rate,The number of unintentional physical contacts  of a consumer with a resource that resulted in a noticeable reaction from the consumer and/or resource per consumer per time,event / (1 individual * 1 individual * 8 hour),Decapoda,Crangonidae,adult,Trait: Random Resource Encounter Rate. Definition: The number of unintentional physical contacts  of a consumer with a resource that resulted in a noticeable reaction from the consumer and/or resource per consumer per time. Unit: event / (1 individual * 1 individual * 8 hour). Organism order: Decapoda. Organism family: Crangonidae.,v5,11
Resource Encounter Rate,The total number of resources a consumer physically encounters per time,event / (1 individual * 8 hour),Decapoda,Crangonidae,adult,Trait: Resource Encounter Rate. Definition: The total number of resources a consumer physically encounters per time. Unit: event / (1 individual * 8 hour). Organism order: Decapoda. Organism family: Crangonidae.,v5,11
Digestion Time 75%,Time taken for 75 percent of the mass of a meal to be digested by a consumer,hour / 1 individual,Salmoniformes,Salmonidae,juvenile,Trait: Digestion Time 75%. Definition: Time taken for 75 percent of the mass of a meal to be digested by a consumer. Unit: hour / 1 individual. Organism order: Salmoniformes. Organism family: Salmonidae.,v5,9
Digestion Time 90%,Time taken for 90 percent of the mass of a meal to be digested by a consumer,hour / 1 individual,Salmoniformes,Salmonidae,juvenile,Trait: Digestion Time 90%. Definition: Time taken for 90 percent of the mass of a meal to be digested by a consumer. Unit: hour / 1 individual. Organism order: Salmoniformes. Organism family: Salmonidae.,v5,9
Digestion Time 99%,Time taken for 99 percent of the mass of a meal to be digested by a consumer,hour / 1 individual,Salmoniformes,Salmonidae,juvenile,Trait: Digestion Time 99%. Definition: Time taken for 99 percent of the mass of a meal to be digested by a consumer. Unit: hour / 1 individual. Organism order: Salmoniformes. Organism family: Salmonidae.,v5,9
Escape Body Deceleration,Deceleration of the whole body of a resource during burst escape movements,meter / (1 second * 1 second),Primates,Hominidae,adult,Trait: Escape Body Deceleration. Definition: Deceleration of the whole body of a resource during burst escape movements. Unit: meter / (1 second * 1 second). Organism order: Primates. Organism family: Hominidae.,v5,-1
Voluntary Tongue Flick Cycle Number,Number of up-and-down motions or cycles of the tongue per flick in an organism with no obvious stimulus,event / (1 individual * 1 event),Squamata,Colubridae,adult,Trait: Voluntary Tongue Flick Cycle Number. Definition: Number of up-and-down motions or cycles of the tongue per flick in an organism with no obvious stimulus. Unit: event / (1 individual * 1 event). Organism order: Squamata. Organism family: Colubridae.,v5,-1
Voluntary Tongue Flick Non-Cycle Time,Time tongue is outside mouth and not moving in an organism with no obvious stimulus,second / 1 individual,Squamata,Colubridae,adult,Trait: Voluntary Tongue Flick Non-Cycle Time. Definition: Time tongue is outside mouth and not moving in an organism with no obvious stimulus. Unit: second / 1 individual. Organism order: Squamata. Organism family: Colubridae.,v5,-1
Foraging Duration,Length of a single foraging bout for a consumer,minute / 1 individual,Aciculata,Nereididae,adult,Trait: Foraging Duration. Definition: Length of a single foraging bout for a consumer. Unit: minute / 1 individual. Organism order: Aciculata. Organism family: Nereididae.,v5,6
Voluntary Exposure Probability,"Probability that an organism is exposed at time of observation (i.e., body above substrate surface and active)",proportion / 1 individual,Squamata,Phrynosomatidae,adult,"Trait: Voluntary Exposure Probability. Definition: Probability that an organism is exposed at time of observation (i.e., body above substrate surface and active). Unit: proportion / 1 individual. Organism order: Squamata. Organism family: Phrynosomatidae.",v5,4
Voluntary Tail Beat Amplitude,Amplitude of tail beats of an organism during voluntary locomotion,millimeter / 1 individual,Clupeiformes,Clupeidae,larvae,Trait: Voluntary Tail Beat Amplitude. Definition: Amplitude of tail beats of an organism during voluntary locomotion. Unit: millimeter / 1 individual. Organism order: Clupeiformes. Organism family: Clupeidae.,v5,10
Consumer Evasion Response Time,"Time taken for a resource to respond (i.e., first body movement) to an attacking predator (times calibrated to quickest response of all resources tested)",second / 1 individual,Clupeiformes,Clupeidae,juvenile,"Trait: Consumer Evasion Response Time. Definition: Time taken for a resource to respond (i.e., first body movement) to an attacking predator (times calibrated to quickest response of all resources tested). Unit: second / 1 individual. Organism order: Clupeiformes. Organism family: Clupeidae.",v5,-1
Flee Time,"Duration of flight of a resource when fleeing a predator before stopping (i.e., over Flee Distance)",second / 1 individual,Clupeiformes,Clupeidae,juvenile,"Trait: Flee Time. Definition: Duration of flight of a resource when fleeing a predator before stopping (i.e., over Flee Distance). Unit: second / 1 individual. Organism order: Clupeiformes. Organism family: Clupeidae.",v5,-1
Resource Escape Response Probability,"Proportion of attacks in which resource initiate's an escape response (i.e., tries to evade attacking predator)",percent / 1 individual,Clupeiformes,Clupeidae,juvenile,"Trait: Resource Escape Response Probability. Definition: Proportion of attacks in which resource initiate's an escape response (i.e., tries to evade attacking predator). Unit: percent / 1 individual. Organism order: Clupeiformes. Organism family: Clupeidae.",v5,-1
Consumer Attack Error Probability,The proportion of attacks in which resource failed to respond (a 'no-response attack') relative to the total number of unsuccessful attacks (resources play no active role in this measure so it is a measure of the consumers performance),percent / 1 second,Clupeiformes,Clupeidae,juvenile,Trait: Consumer Attack Error Probability. Definition: The proportion of attacks in which resource failed to respond (a 'no-response attack') relative to the total number of unsuccessful attacks (resources play no active role in this measure so it is a measure of the consumers performance). Unit: percent / 1 second. Organism order: Clupeiformes. Organism family: Clupeidae.,v5,12
'Stand Upright' Defence Probability,"Probability that each resource will stand upright when attacked by a consumer (occurred when the resource mouth-gaped, and when provoked further stood upright with its legs held rigid, body inflated, jaws opened widely and tongue protruding)",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Stand Upright' Defence Probability. Definition: Probability that each resource will stand upright when attacked by a consumer (occurred when the resource mouth-gaped, and when provoked further stood upright with its legs held rigid, body inflated, jaws opened widely and tongue protruding). Unit: proportion / 1 individual. Organism order: Primates. Organism family: Hominidae.",v5,12
'Flee' Defence Probability,"Probability that each resource from a population will 'flee' when attacked by a consumer (i.e., resource fled immediately upon approach by the consumer)",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Flee' Defence Probability. Definition: Probability that each resource from a population will 'flee' when attacked by a consumer (i.e., resource fled immediately upon approach by the consumer). Unit: proportion / 1 individual. Organism order: Primates. Organism family: Hominidae.",v5,12
Mass-Specific Escape Jump Force,Mass-specific force exerted on the substrate by a resource during an escape jump,newton / 1 kilogram (body mass - wet),NA,NA,NA,Trait: Mass-Specific Escape Jump Force. Definition: Mass-specific force exerted on the substrate by a resource during an escape jump. Unit: newton / 1 kilogram (body mass - wet).,v5,10
Mass-Specific Escape Body Jump Power Production,Mass-specific power production during a jump by a resource during escape,watt / 1 kilogram (body mass - wet),NA,NA,NA,Trait: Mass-Specific Escape Body Jump Power Production. Definition: Mass-specific power production during a jump by a resource during escape. Unit: watt / 1 kilogram (body mass - wet).,v5,10
Nest Provisioning Probability,The proportion of individuals returning from foraging that are carrying a resource (for itself or its young),proportion,Hymenoptera,Formicidae,adult (worker),Trait: Nest Provisioning Probability. Definition: The proportion of individuals returning from foraging that are carrying a resource (for itself or its young). Unit: proportion. Organism order: Hymenoptera. Organism family: Formicidae.,v5,-1
'Perch-and-Drop' Foraging Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'perch-and-dropping' (i.e., consumer drops from a perch to catch resource and then immediately returns to the perch without moving around whilst on the ground)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Perch-and-Drop' Foraging Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'perch-and-dropping' (i.e., consumer drops from a perch to catch resource and then immediately returns to the perch without moving around whilst on the ground). Unit: proportion / 1 individual. Organism order: Passeriformes. Organism family: Muscicapidae.",v5,6
'Leaf-Gleaning' Foraging Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'leaf-gleaning' (i.e., actively searching leaves for resource)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Leaf-Gleaning' Foraging Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'leaf-gleaning' (i.e., actively searching leaves for resource). Unit: proportion / 1 individual. Organism order: Passeriformes. Organism family: Muscicapidae.",v5,6
'Bark-Pecking' Foraging Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'bark-pecking' (i.e., actively searching for food in the bark of vegetation)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Bark-Pecking' Foraging Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'bark-pecking' (i.e., actively searching for food in the bark of vegetation). Unit: proportion / 1 individual. Organism order: Passeriformes. Organism family: Muscicapidae.",v5,6
'Fly-Catching' Foraging Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'fly catching' (i.e., actively searching for resource on the wing)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Fly-Catching' Foraging Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'fly catching' (i.e., actively searching for resource on the wing). Unit: proportion / 1 individual. Organism order: Passeriformes. Organism family: Muscicapidae.",v5,6
Attack Probability,Probability of a consumer attacking a resource that comes within its attack field (field size is measured experimentally or estimated from the literature),proportion / 1 individual,Hemiptera,Naucoridae,adult,Trait: Attack Probability. Definition: Probability of a consumer attacking a resource that comes within its attack field (field size is measured experimentally or estimated from the literature). Unit: proportion / 1 individual. Organism order: Hemiptera. Organism family: Naucoridae.,v5,12
'Refuge-Seek' Defence Probability,Probability that each resource from a population will seek refuge when attacked by a consumer ('Refuge-Seek' behaviour consisted of actively probing the walls of the arena trying to find a way out),percent / 1 individual,Primates,Hominidae,adult,Trait: 'Refuge-Seek' Defence Probability. Definition: Probability that each resource from a population will seek refuge when attacked by a consumer ('Refuge-Seek' behaviour consisted of actively probing the walls of the arena trying to find a way out). Unit: percent / 1 individual. Organism order: Primates. Organism family: Hominidae.,v5,12
'Swim Underwater' Defence Probability,Probability that each resource from a population swam underwater when attacked (occurred when the resource fled while submerged),percent / 1 individual,Primates,Hominidae,adult,Trait: 'Swim Underwater' Defence Probability. Definition: Probability that each resource from a population swam underwater when attacked (occurred when the resource fled while submerged). Unit: percent / 1 individual. Organism order: Primates. Organism family: Hominidae.,v5,-1
Strike Stroke Length,Distance covered by the consumer in the last complete stroke of a strike,centimeter / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Strike Stroke Length. Definition: Distance covered by the consumer in the last complete stroke of a strike. Unit: centimeter / 1 individual. Organism order: Scorpaeniformes. Organism family: Cottidae.,v5,10
Attack Tail Beat Amplitude,Maximum amplitude of tail motion for locomotion of a consumer during an attack,centimeter / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Attack Tail Beat Amplitude. Definition: Maximum amplitude of tail motion for locomotion of a consumer during an attack. Unit: centimeter / 1 individual. Organism order: Scorpaeniformes. Organism family: Cottidae.,v5,10
Attack Body Acceleration,Body acceleration of a consumer during an attack,meter / (1 second * 1 second),Scorpaeniformes,Cottidae,adult,Trait: Attack Body Acceleration. Definition: Body acceleration of a consumer during an attack. Unit: meter / (1 second * 1 second). Organism order: Scorpaeniformes. Organism family: Cottidae.,v5,7
Strike Tail Beat Duration,Duration of a tail beat cycle of a consumer during a strike,millisecond / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Strike Tail Beat Duration. Definition: Duration of a tail beat cycle of a consumer during a strike. Unit: millisecond / 1 individual. Organism order: Scorpaeniformes. Organism family: Cottidae.,v5,10
Attack Tail Beat Duration,Duration of a tail beat cycle of a consumer during an attack,millisecond / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Attack Tail Beat Duration. Definition: Duration of a tail beat cycle of a consumer during an attack. Unit: millisecond / 1 individual. Organism order: Scorpaeniformes. Organism family: Cottidae.,v5,-1
'Flatten' Defence Probability,Probability that each resource from a population will 'flatten' when attacked by a consumer ('Flatten' occurs when the animal dorsoventrally compresses its body and is often followed by a strike),proportion / 1 individual,Primates,Hominidae,adult,Trait: 'Flatten' Defence Probability. Definition: Probability that each resource from a population will 'flatten' when attacked by a consumer ('Flatten' occurs when the animal dorsoventrally compresses its body and is often followed by a strike). Unit: proportion / 1 individual. Organism order: Primates. Organism family: Hominidae.,v5,-1
Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,event / (1 individual * 24 hour),Ochromonadales,Scarabaeoidea,NA,Trait: Population Growth Rate. Definition: Intrinsic rate of population growth measured as individuals per individuals per time. Unit: event / (1 individual * 24 hour). Organism order: Ochromonadales. Organism family: Scarabaeoidea.,v5,-1
In Vitro Heart Beat Rate,Heart beat rate measured in a heart removed from the organism,event / 1 minute,Procellariiformes,Hydrobatidae,embryo,Trait: In Vitro Heart Beat Rate. Definition: Heart beat rate measured in a heart removed from the organism. Unit: event / 1 minute. Organism order: Procellariiformes. Organism family: Hydrobatidae.,v5,-1
Development Time,Time taken by an individual to complete a particular period or life stage,day / 1 individual,Hemiptera,Pseudococcidae,nymph (female),Trait: Development Time. Definition: Time taken by an individual to complete a particular period or life stage. Unit: day / 1 individual. Organism order: Hemiptera. Organism family: Pseudococcidae.,v5,-1
Longevity,Length of adult life,day / 1 individual,Hemiptera,Pseudococcidae,adult (female),Trait: Longevity. Definition: Length of adult life. Unit: day / 1 individual. Organism order: Hemiptera. Organism family: Pseudococcidae.,v5,-1
Generation Time,Average interval between the birth of an individual and the birth of its offspring,day / 1 individual,Hemiptera,Pseudococcidae,adult,Trait: Generation Time. Definition: Average interval between the birth of an individual and the birth of its offspring. Unit: day / 1 individual. Organism order: Hemiptera. Organism family: Pseudococcidae.,v5,-1
Population Size,Number of individuals in the population,individual,Calanoida,Acartiidae,adult,Trait: Population Size. Definition: Number of individuals in the population. Unit: individual. Organism order: Calanoida. Organism family: Acartiidae.,v5,-1
48-hr Hatching Probability,Probability of an egg having hatched at 48 hrs,proportion,Calanoida,Acartiidae,adult,Trait: 48-hr Hatching Probability. Definition: Probability of an egg having hatched at 48 hrs. Unit: proportion. Organism order: Calanoida. Organism family: Acartiidae.,v5,-1
Mortality Rate,"Number of deaths scaled by population size, per unit time",event / (1 individual * 24 hour),Hemiptera,Aphididae,juvenile,"Trait: Mortality Rate. Definition: Number of deaths scaled by population size, per unit time. Unit: event / (1 individual * 24 hour). Organism order: Hemiptera. Organism family: Aphididae.",v5,-1
Fecundity Rate,Number of offspring produced by a female per time,event / (1 individual * 24 hour),Hemiptera,Pemphigidae,adult (female),Trait: Fecundity Rate. Definition: Number of offspring produced by a female per time. Unit: event / (1 individual * 24 hour). Organism order: Hemiptera. Organism family: Pemphigidae.,v5,-1
Asexual Reproduction Rate,Number of individuals produced asexually per individual per unit time,event / (1 individual * 24 hour),Hydroida,Moerisiidae,adult,Trait: Asexual Reproduction Rate. Definition: Number of individuals produced asexually per individual per unit time. Unit: event / (1 individual * 24 hour). Organism order: Hydroida. Organism family: Moerisiidae.,v5,-1
Surface Area-Specific Maximum Photosynthesis Rate,Surface area-specific maximum light-saturated photosynthesis rate measured by flux of carbon dioxide mass,gram / (1 square centimeter * 1 second),Fagales,Fagaceae,adult,Trait: Surface Area-Specific Maximum Photosynthesis Rate. Definition: Surface area-specific maximum light-saturated photosynthesis rate measured by flux of carbon dioxide mass. Unit: gram / (1 square centimeter * 1 second). Organism order: Fagales. Organism family: Fagaceae.,v5,13
Individual Mass Growth Rate,Rate of increase in mass of an individual over time,milligram (body mass - wet) / (1 individual * 24 hour),Bryopsidales,Caulerpaceae,adult,Trait: Individual Mass Growth Rate. Definition: Rate of increase in mass of an individual over time. Unit: milligram (body mass - wet) / (1 individual * 24 hour). Organism order: Bryopsidales. Organism family: Caulerpaceae.,v5,-1
photosynthetic co2 assimilation,NA,micromol m^-2 s^-1,Fabales,Fabaceae,2 weeks past full extension,Trait: photosynthetic co2 assimilation. Unit: micromol m^-2 s^-1. Organism order: Fabales. Organism family: Fabaceae.,v5,13
photosynthetic rate,NA,micromol m^-2 s^-1,Sapindales,Rutaceae,NA,Trait: photosynthetic rate. Unit: micromol m^-2 s^-1. Organism order: Sapindales. Organism family: Rutaceae.,v5,13
co2 assimilation,NA,micromol m^-2 s^-1,Malvales,Malvaceae,NA,Trait: co2 assimilation. Unit: micromol m^-2 s^-1. Organism order: Malvales. Organism family: Malvaceae.,v5,13
change in o2 (photosynthesis),NA,mg o2 (10 minutes^-1),Scleractinia,Pocilloporidae,NA,Trait: change in o2 (photosynthesis). Unit: mg o2 (10 minutes^-1). Organism order: Scleractinia. Organism family: Pocilloporidae.,v5,13
net photosynthetic rate,NA,mg co2 dm^-2 h^-1,Poales,Poaceae,youngest fully expanded,Trait: net photosynthetic rate. Unit: mg co2 dm^-2 h^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
maximum net photosynthesis,NA,micromol o2 dm^-2 min^-1,Alismatales,Zosteraceae,NA,Trait: maximum net photosynthesis. Unit: micromol o2 dm^-2 min^-1. Organism order: Alismatales. Organism family: Zosteraceae.,v5,13
"net photosynthesis, co2 exchange",NA,micromol m^-2 s^-1,Peltigerales,Collemataceae,NA,"Trait: net photosynthesis, co2 exchange. Unit: micromol m^-2 s^-1. Organism order: Peltigerales. Organism family: Collemataceae.",v5,13
Development Rate,Rate at which an individual completes development of one or more life stages,event / (1 individual * 24 hour),Hymenoptera,Braconidae,juvenile,Trait: Development Rate. Definition: Rate at which an individual completes development of one or more life stages. Unit: event / (1 individual * 24 hour). Organism order: Hymenoptera. Organism family: Braconidae.,v5,-1
Molting Frequency,Number of times an individual moults per unit time,event / (1 individual * 24 hour),Decapoda,Parastacidae,juvenile,Trait: Molting Frequency. Definition: Number of times an individual moults per unit time. Unit: event / (1 individual * 24 hour). Organism order: Decapoda. Organism family: Parastacidae.,v5,-1
Individual Length Growth Rate,Rate of increase in length of an individual over time,millimeter / (1 individual * 1 day),Cladocera,Moinidae,juvenile (female),Trait: Individual Length Growth Rate. Definition: Rate of increase in length of an individual over time. Unit: millimeter / (1 individual * 1 day). Organism order: Cladocera. Organism family: Moinidae.,v5,-1
Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,millimeter / (1 individual * 1 day),Hypocreales,Clavicipitaceae,adult,Trait: Radial Growth Rate. Definition: Increase in diameter of a circular colony growing on a 2 dimensional surface. Unit: millimeter / (1 individual * 1 day). Organism order: Hypocreales. Organism family: Clavicipitaceae.,v5,-1
grazing rate,NA,cells eaten/individual/hr,Oligotrichida,Ptychocylididae,NA,Trait: grazing rate. Unit: cells eaten/individual/hr. Organism order: Oligotrichida. Organism family: Ptychocylididae.,v5,-1
herbivory rate,NA,diatom cells consumed/day,Calanoida,Acartiidae,NA,Trait: herbivory rate. Unit: diatom cells consumed/day. Organism order: Calanoida. Organism family: Acartiidae.,v5,-1
herbivory/grazing rate,NA,mean leaf consumption area (cm2)/larvae/24 h,Coleoptera,Chrysomelidae,2nd instar larvae,Trait: herbivory/grazing rate. Unit: mean leaf consumption area (cm2)/larvae/24 h. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,-1
consumption rate,NA,mg dry leaves/g live larvae/day,Lepidoptera,Nymphalidae,5th instar larvae,Trait: consumption rate. Unit: mg dry leaves/g live larvae/day. Organism order: Lepidoptera. Organism family: Nymphalidae.,v5,-1
predation rate,NA,slugs killed & eaten/25 predator-prey pairs/24 h,Coleoptera,Carabidae,NA,Trait: predation rate. Unit: slugs killed & eaten/25 predator-prey pairs/24 h. Organism order: Coleoptera. Organism family: Carabidae.,v5,-1
predation time,NA,"mean time to capture, subdue, & handle prey",Squamata,Scincidae,NA,"Trait: predation time. Unit: mean time to capture, subdue, & handle prey. Organism order: Squamata. Organism family: Scincidae.",v5,-1
predation intensity,NA,mean # prey eaten/initial prey density of 175/predator/24h,Calanoida,Tortanidae,NA,Trait: predation intensity. Unit: mean # prey eaten/initial prey density of 175/predator/24h. Organism order: Calanoida. Organism family: Tortanidae.,v5,-1
time to death of hosts,NA,LT50 (days for 50% of hosts to die after exposure to parasitoids),Rhabditida,Steinernematidae,NA,Trait: time to death of hosts. Unit: LT50 (days for 50% of hosts to die after exposure to parasitoids). Organism order: Rhabditida. Organism family: Steinernematidae.,v5,0
parasitoid infection rate,NA,mean # nematodes penetrating a host/72 hr exposure of 20 hosts to 200 nematodes,Rhabditida,Steinernematidae,NA,Trait: parasitoid infection rate. Unit: mean # nematodes penetrating a host/72 hr exposure of 20 hosts to 200 nematodes. Organism order: Rhabditida. Organism family: Steinernematidae.,v5,0
parasitism rate,NA,mean proportion of 25 hosts parasitized/24 h exposure to parasitoid,Hymenoptera,Aphelinidae,NA,Trait: parasitism rate. Unit: mean proportion of 25 hosts parasitized/24 h exposure to parasitoid. Organism order: Hymenoptera. Organism family: Aphelinidae.,v5,0
daily parasitism,NA,# host eggs killed/female,Hymenoptera,Trichogrammatidae,NA,Trait: daily parasitism. Unit: # host eggs killed/female. Organism order: Hymenoptera. Organism family: Trichogrammatidae.,v5,0
parasitism infection rate,NA,% penetration of larvae by nematodes/4 days,Rhabditida,Steinernematidae,NA,Trait: parasitism infection rate. Unit: % penetration of larvae by nematodes/4 days. Organism order: Rhabditida. Organism family: Steinernematidae.,v5,0
parasitism death rate,NA,mean # pupae killed/100 pupae exposed/parasitoid/24h,Hymenoptera,Pteromalidae,NA,Trait: parasitism death rate. Unit: mean # pupae killed/100 pupae exposed/parasitoid/24h. Organism order: Hymenoptera. Organism family: Pteromalidae.,v5,0
parasitization rate,NA,mean % parasitization,Rhabditida,Heterorhabditidae,NA,Trait: parasitization rate. Unit: mean % parasitization. Organism order: Rhabditida. Organism family: Heterorhabditidae.,v5,0
mummification rate,NA,% of 100 aphids mummified/5 female parasitoids/5 hrs,Hymenoptera,Braconidae,NA,Trait: mummification rate. Unit: % of 100 aphids mummified/5 female parasitoids/5 hrs. Organism order: Hymenoptera. Organism family: Braconidae.,v5,0
mean instantaneou attack rate + mean inverse handling time,NA,% hosts parasitized (mean # hosts parasitized/30 available)/24 hrs,Hymenoptera,Braconidae,NA,Trait: mean instantaneou attack rate + mean inverse handling time. Unit: % hosts parasitized (mean # hosts parasitized/30 available)/24 hrs. Organism order: Hymenoptera. Organism family: Braconidae.,v5,0
infection rate,NA,% of 50 2nd instar thrip larvae infected / 4 infected adult female thrips exposed / 48 hour,Tylenchida,Allantonematidae,NA,Trait: infection rate. Unit: % of 50 2nd instar thrip larvae infected / 4 infected adult female thrips exposed / 48 hour. Organism order: Tylenchida. Organism family: Allantonematidae.,v5,0
time for attachment to host egg,NA,1/time to attachment to host egg,Trombidiformes,Acarophenacidae,NA,Trait: time for attachment to host egg. Unit: 1/time to attachment to host egg. Organism order: Trombidiformes. Organism family: Acarophenacidae.,v5,-1
NA,NA,"mean % host mortality/5 d exposure/20,000 parasite application",Rhabditida,Heterorhabditidae,NA,"Trait: NA. Unit: mean % host mortality/5 d exposure/20,000 parasite application. Organism order: Rhabditida. Organism family: Heterorhabditidae.",v5,0
feeding time,NA,minutes on cattle/5.5 hour exposure,Diptera,Muscidae,NA,Trait: feeding time. Unit: minutes on cattle/5.5 hour exposure. Organism order: Diptera. Organism family: Muscidae.,v5,-1
successful attack rate,NA,no. successful attacks by parasite/min,Arguloida,Argulidae,NA,Trait: successful attack rate. Unit: no. successful attacks by parasite/min. Organism order: Arguloida. Organism family: Argulidae.,v5,0
parasitism rate (infection success),NA,% of 15 exposed cockles infected/24 hr,Plagiorchiida,Renicolidae,NA,Trait: parasitism rate (infection success). Unit: % of 15 exposed cockles infected/24 hr. Organism order: Plagiorchiida. Organism family: Renicolidae.,v5,0
interaction rate,NA,agonistic flights/minute,Odonata,Libellulidae,NA,Trait: interaction rate. Unit: agonistic flights/minute. Organism order: Odonata. Organism family: Libellulidae.,v5,-1
competitive exclusion time,NA,"extinction time, in days, of A. parth in compet with A. tunisia",Anostraca,Artemiidae,NA,"Trait: competitive exclusion time. Unit: extinction time, in days, of A. parth in compet with A. tunisia. Organism order: Anostraca. Organism family: Artemiidae.",v5,-1
time to dominance hierarchy,NA,1/mean days to est of dominance hierarchy,Salmoniformes,Salmonidae,NA,Trait: time to dominance hierarchy. Unit: 1/mean days to est of dominance hierarchy. Organism order: Salmoniformes. Organism family: Salmonidae.,v5,-1
time to compet exclusion,NA,1/days,Diplostraca,Daphniidae,NA,Trait: time to compet exclusion. Unit: 1/days. Organism order: Diplostraca. Organism family: Daphniidae.,v5,-1
aggression rate,NA,mean # aggressive interactions initiated/4 min observation period,Salmoniformes,Salmonidae,NA,Trait: aggression rate. Unit: mean # aggressive interactions initiated/4 min observation period. Organism order: Salmoniformes. Organism family: Salmonidae.,v5,-1
Stream position (O.mykiss),NA,Ints/15 min/fish,Cypriniformes,Cyprinidae,NA,Trait: Stream position (O.mykiss). Unit: Ints/15 min/fish. Organism order: Cypriniformes. Organism family: Cyprinidae.,v5,-1
"interaction rate (nips in warm water, evictions in cool water)",NA,interactions/fish observation/5 min period,Cypriniformes,Cyprinidae,NA,"Trait: interaction rate (nips in warm water, evictions in cool water). Unit: interactions/fish observation/5 min period. Organism order: Cypriniformes. Organism family: Cyprinidae.",v5,-1
stream position,NA,"agonistic acts (mean, interspecific )/15 minutes",Salmoniformes,Salmonidae,NA,"Trait: stream position. Unit: agonistic acts (mean, interspecific )/15 minutes. Organism order: Salmoniformes. Organism family: Salmonidae.",v5,-1
competitive exclusion rate,NA,days to compet exclusion,Ploima,Synchaetidae,NA,Trait: competitive exclusion rate. Unit: days to compet exclusion. Organism order: Ploima. Organism family: Synchaetidae.,v5,-1
aggressive acts/10 mins,NA,mean total # aggressive acts (orientations + nips + chases)/10 mins,NA,NA,NA,Trait: aggressive acts/10 mins. Unit: mean total # aggressive acts (orientations + nips + chases)/10 mins.,v5,-1
growth rate,NA,day^-1,Coscinodiscales,Hemidiscaceae,NA,Trait: growth rate. Unit: day^-1. Organism order: Coscinodiscales. Organism family: Hemidiscaceae.,v5,-1
Relative Growth Rate,mm increase in head width per day at 20% of adult head width,mm/day,Odonata,Coenagrionida,larva,Trait: Relative Growth Rate. Definition: mm increase in head width per day at 20% of adult head width. Unit: mm/day. Organism order: Odonata. Organism family: Coenagrionida.,v5,-1
net photosynthesis,NA,micromol m^-2 s^-1,Poales,Poaceae,NA,Trait: net photosynthesis. Unit: micromol m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
rate of photosynthenthetic co2 fixation,NA,micromol co2 mg(Chl)^-1 h^-1,Caryophyllales,Amaranthaceae,NA,Trait: rate of photosynthenthetic co2 fixation. Unit: micromol co2 mg(Chl)^-1 h^-1. Organism order: Caryophyllales. Organism family: Amaranthaceae.,v5,13
