OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
Mortality Rate,"Number of deaths scaled by population size, per unit time",event / (1 individual * 24 hour),Hemiptera,Aphididae,juvenile,"Trait: Mortality Rate. Definition: Number of deaths scaled by population size, per unit time.",v2,-1
Fecundity Rate,Number of offspring produced by a female per time,event / (1 individual * 24 hour),Hemiptera,Pemphigidae,adult (female),Trait: Fecundity Rate. Definition: Number of offspring produced by a female per time.,v2,-1
Asexual Reproduction Rate,Number of individuals produced asexually per individual per unit time,event / (1 individual * 24 hour),Hydroida,Moerisiidae,adult,Trait: Asexual Reproduction Rate. Definition: Number of individuals produced asexually per individual per unit time.,v2,-1
Surface Area-Specific Maximum Photosynthesis Rate,Surface area-specific maximum light-saturated photosynthesis rate measured by flux of carbon dioxide mass,gram / (1 square centimeter * 1 second),Fagales,Fagaceae,adult,Trait: Surface Area-Specific Maximum Photosynthesis Rate. Definition: Surface area-specific maximum light-saturated photosynthesis rate measured by flux of carbon dioxide mass.,v2,-1
Individual Mass Growth Rate,Rate of increase in mass of an individual over time,milligram (body mass - wet) / (1 individual * 24 hour),Bryopsidales,Caulerpaceae,adult,Trait: Individual Mass Growth Rate. Definition: Rate of increase in mass of an individual over time.,v2,-1
photosynthetic co2 assimilation,NA,micromol m^-2 s^-1,Fabales,Fabaceae,2 weeks past full extension,Trait: photosynthetic co2 assimilation.,v2,9
photosynthetic rate,NA,micromol m^-2 s^-1,Sapindales,Rutaceae,NA,Trait: photosynthetic rate.,v2,9
co2 assimilation,NA,micromol m^-2 s^-1,Malvales,Malvaceae,NA,Trait: co2 assimilation.,v2,9
change in o2 (photosynthesis),NA,mg o2 (10 minutes^-1),Scleractinia,Pocilloporidae,NA,Trait: change in o2 (photosynthesis).,v2,9
net photosynthetic rate,NA,mg co2 dm^-2 h^-1,Poales,Poaceae,youngest fully expanded,Trait: net photosynthetic rate.,v2,9
maximum net photosynthesis,NA,micromol o2 dm^-2 min^-1,Alismatales,Zosteraceae,NA,Trait: maximum net photosynthesis.,v2,9
"net photosynthesis, co2 exchange",NA,micromol m^-2 s^-1,Peltigerales,Collemataceae,NA,"Trait: net photosynthesis, co2 exchange.",v2,9
Development Rate,Rate at which an individual completes development of one or more life stages,event / (1 individual * 24 hour),Hymenoptera,Braconidae,juvenile,Trait: Development Rate. Definition: Rate at which an individual completes development of one or more life stages.,v2,-1
Molting Frequency,Number of times an individual moults per unit time,event / (1 individual * 24 hour),Decapoda,Parastacidae,juvenile,Trait: Molting Frequency. Definition: Number of times an individual moults per unit time.,v2,-1
Individual Length Growth Rate,Rate of increase in length of an individual over time,millimeter / (1 individual * 1 day),Cladocera,Moinidae,juvenile (female),Trait: Individual Length Growth Rate. Definition: Rate of increase in length of an individual over time.,v2,-1
Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,millimeter / (1 individual * 1 day),Hypocreales,Clavicipitaceae,adult,Trait: Radial Growth Rate. Definition: Increase in diameter of a circular colony growing on a 2 dimensional surface.,v2,-1
grazing rate,NA,cells eaten/individual/hr,Oligotrichida,Ptychocylididae,NA,Trait: grazing rate.,v2,3
herbivory rate,NA,diatom cells consumed/day,Calanoida,Acartiidae,NA,Trait: herbivory rate.,v2,3
herbivory/grazing rate,NA,mean leaf consumption area (cm2)/larvae/24 h,Coleoptera,Chrysomelidae,2nd instar larvae,Trait: herbivory/grazing rate.,v2,3
consumption rate,NA,mg dry leaves/g live larvae/day,Lepidoptera,Nymphalidae,5th instar larvae,Trait: consumption rate.,v2,-1
predation rate,NA,slugs killed & eaten/25 predator-prey pairs/24 h,Coleoptera,Carabidae,NA,Trait: predation rate.,v2,3
predation time,NA,"mean time to capture, subdue, & handle prey",Squamata,Scincidae,NA,Trait: predation time.,v2,3
predation intensity,NA,mean # prey eaten/initial prey density of 175/predator/24h,Calanoida,Tortanidae,NA,Trait: predation intensity.,v2,3
time to death of hosts,NA,LT50 (days for 50% of hosts to die after exposure to parasitoids),Rhabditida,Steinernematidae,NA,Trait: time to death of hosts.,v2,-1
parasitoid infection rate,NA,mean # nematodes penetrating a host/72 hr exposure of 20 hosts to 200 nematodes,Rhabditida,Steinernematidae,NA,Trait: parasitoid infection rate.,v2,3
parasitism rate,NA,mean proportion of 25 hosts parasitized/24 h exposure to parasitoid,Hymenoptera,Aphelinidae,NA,Trait: parasitism rate.,v2,3
daily parasitism,NA,# host eggs killed/female,Hymenoptera,Trichogrammatidae,NA,Trait: daily parasitism.,v2,3
parasitism infection rate,NA,% penetration of larvae by nematodes/4 days,Rhabditida,Steinernematidae,NA,Trait: parasitism infection rate.,v2,3
parasitism death rate,NA,mean # pupae killed/100 pupae exposed/parasitoid/24h,Hymenoptera,Pteromalidae,NA,Trait: parasitism death rate.,v2,3
parasitization rate,NA,mean % parasitization,Rhabditida,Heterorhabditidae,NA,Trait: parasitization rate.,v2,3
mummification rate,NA,% of 100 aphids mummified/5 female parasitoids/5 hrs,Hymenoptera,Braconidae,NA,Trait: mummification rate.,v2,-1
mean instantaneou attack rate + mean inverse handling time,NA,% hosts parasitized (mean # hosts parasitized/30 available)/24 hrs,Hymenoptera,Braconidae,NA,Trait: mean instantaneou attack rate + mean inverse handling time.,v2,-1
infection rate,NA,% of 50 2nd instar thrip larvae infected / 4 infected adult female thrips exposed / 48 hour,Tylenchida,Allantonematidae,NA,Trait: infection rate.,v2,3
time for attachment to host egg,NA,1/time to attachment to host egg,Trombidiformes,Acarophenacidae,NA,Trait: time for attachment to host egg.,v2,-1
NA,NA,"mean % host mortality/5 d exposure/20,000 parasite application",Rhabditida,Heterorhabditidae,NA,Trait: NA.,v2,-1
feeding time,NA,minutes on cattle/5.5 hour exposure,Diptera,Muscidae,NA,Trait: feeding time.,v2,-1
successful attack rate,NA,no. successful attacks by parasite/min,Arguloida,Argulidae,NA,Trait: successful attack rate.,v2,-1
parasitism rate (infection success),NA,% of 15 exposed cockles infected/24 hr,Plagiorchiida,Renicolidae,NA,Trait: parasitism rate (infection success).,v2,3
interaction rate,NA,agonistic flights/minute,Odonata,Libellulidae,NA,Trait: interaction rate.,v2,-1
competitive exclusion time,NA,"extinction time, in days, of A. parth in compet with A. tunisia",Anostraca,Artemiidae,NA,Trait: competitive exclusion time.,v2,-1
time to dominance hierarchy,NA,1/mean days to est of dominance hierarchy,Salmoniformes,Salmonidae,NA,Trait: time to dominance hierarchy.,v2,-1
time to compet exclusion,NA,1/days,Diplostraca,Daphniidae,NA,Trait: time to compet exclusion.,v2,-1
aggression rate,NA,mean # aggressive interactions initiated/4 min observation period,Salmoniformes,Salmonidae,NA,Trait: aggression rate.,v2,3
Stream position (O.mykiss),NA,Ints/15 min/fish,Cypriniformes,Cyprinidae,NA,Trait: Stream position (O.mykiss).,v2,-1
"interaction rate (nips in warm water, evictions in cool water)",NA,interactions/fish observation/5 min period,Cypriniformes,Cyprinidae,NA,"Trait: interaction rate (nips in warm water, evictions in cool water).",v2,-1
stream position,NA,"agonistic acts (mean, interspecific )/15 minutes",Salmoniformes,Salmonidae,NA,Trait: stream position.,v2,-1
competitive exclusion rate,NA,days to compet exclusion,Ploima,Synchaetidae,NA,Trait: competitive exclusion rate.,v2,-1
aggressive acts/10 mins,NA,mean total # aggressive acts (orientations + nips + chases)/10 mins,NA,NA,NA,Trait: aggressive acts/10 mins.,v2,-1
growth rate,NA,day^-1,Coscinodiscales,Hemidiscaceae,NA,Trait: growth rate.,v2,-1
Relative Growth Rate,mm increase in head width per day at 20% of adult head width,mm/day,Odonata,Coenagrionida,larva,Trait: Relative Growth Rate. Definition: mm increase in head width per day at 20% of adult head width.,v2,-1
net photosynthesis,NA,micromol m^-2 s^-1,Poales,Poaceae,NA,Trait: net photosynthesis.,v2,9
rate of photosynthenthetic co2 fixation,NA,micromol co2 mg(Chl)^-1 h^-1,Caryophyllales,Amaranthaceae,NA,Trait: rate of photosynthenthetic co2 fixation.,v2,9
gross photosynthesis / specific growth rate,NA,micro (day^-1),Cladophorales,Cladophoraceae,inocolum,Trait: gross photosynthesis / specific growth rate.,v2,9
net photosynthesis specific growth rate,NA,micro (day^-1),Cladophorales,Cladophoraceae,inocolum,Trait: net photosynthesis specific growth rate.,v2,9
net co2 assimilation rate,NA,micromol m^-2 s^-1,Fagales,Fagaceae,NA,Trait: net co2 assimilation rate.,v2,9
apparent co2 assimilation rate,NA,mg co2 g(FW)^-1 h^-1,Poales,Poaceae,10-14 days old,Trait: apparent co2 assimilation rate.,v2,9
area-based light-saturated rate of net photosythesis,NA,micromol m^-2 s^-1,Malpighiales,Salicaceae,NA,Trait: area-based light-saturated rate of net photosythesis.,v2,9
mass-based light-saturated rate of net photosynthesis,NA,nmol g^-1 s^-1,Malpighiales,Salicaceae,NA,Trait: mass-based light-saturated rate of net photosynthesis.,v2,9
co2 and light saturated rates of gross photosynthesis,NA,micromol m^-2 s^-1,Fabales,Fabaceae,22 days,Trait: co2 and light saturated rates of gross photosynthesis.,v2,9
maximum rate of net photosynthesis,NA,micromol m^-2 s^-1,Fagales,Fagaceae,mature current year,Trait: maximum rate of net photosynthesis.,v2,9
photosynthesis,NA,micromol m^-2 s^-1,Asterales,Asteraceae,NA,Trait: photosynthesis.,v2,9
co2 exchange (photosynthesis),NA,nmol co2 cm^-2 s^-1,Zygophyllales,Zygophyllaceae,1-2 years old,Trait: co2 exchange (photosynthesis).,v2,9
"net photosynthesis, oxygen evolved",NA,micromol m^-2 s^-1,Bangiales,Bangiaceae,NA,"Trait: net photosynthesis, oxygen evolved.",v2,9
gross photosynthesis,NA,micromol o2 mg(Chl)^-1 h^-1,Klebsormidiales,Klebsormidiaceae,NA,Trait: gross photosynthesis.,v2,9
log gross photosynthesis activity,NA,micromol o2 mg(Chl)^-1 h^-1,Chlorellales,Chlorellaceae,NA,Trait: log gross photosynthesis activity.,v2,9
net co2 assimilation,NA,micromol m^-2 s^-1,Solanales,Convolvulaceae,most recent fully expanded,Trait: net co2 assimilation.,v2,9
net photosynthesis (Am),NA,micromol m^-2 s^-1,Poales,Poaceae,fully expanded young,Trait: net photosynthesis (Am).,v2,9
apparent photosynthesis,NA,micromol o2 g(DW)^-1 min^-1,Gigartinales,Gigartinaceae,NA,Trait: apparent photosynthesis.,v2,9
net co2 exchange rate,NA,microl co2 m^-2 s^-1,Poales,Poaceae,fully expanded,Trait: net co2 exchange rate.,v2,9
gross photosynthetic rate,NA,micromol m^-2 s^-1,Fagales,Fagaceae,NA,Trait: gross photosynthetic rate.,v2,9
photosynthetic activity,NA,micromol o2 mg(Chl)^-1 h^-1,Synechococcales,Merismopediaceae,NA,Trait: photosynthetic activity.,v2,9
photosynthetic capacity,NA,mmol e^- [mg chl a]^-1 h^-1,Thalassiosirales,Thalassiosiraceae,NA,Trait: photosynthetic capacity.,v2,9
apparent photosynthetic 02 evolution,NA,microg o2 mg(Chl)^-1 min^-1,Alismatales,Hydrocharitaceae,NA,Trait: apparent photosynthetic 02 evolution.,v2,9
rate of gross photosynthesis,NA,microg C cm^-2 h^-1,Alismatales,Cymodoceaceae,NA,Trait: rate of gross photosynthesis.,v2,9
net CO2 uptake rate,NA,nmol co2 cm^-2 s^-1,Caryophyllales,Amaranthaceae,NA,Trait: net CO2 uptake rate.,v2,9
net CO2 fixation rate,NA,micromol m^-2 s^-1,Poales,Poaceae,NA,Trait: net CO2 fixation rate.,v2,9
net photosynthesis rate,NA,nmol CO2 cm^-2 s^-1,Asterales,Asteraceae,NA,Trait: net photosynthesis rate.,v2,9
net CO2 assimilation rate,NA,micromol co2 m^-2 s^-1,Malvales,Malvaceae,NA,Trait: net CO2 assimilation rate.,v2,9
co2 uptake,NA,micromol co2 g(FW)^-1 h^-1,Alismatales,Araceae,NA,Trait: co2 uptake.,v2,9
relative net photosynthesis,NA,?,Saxifragales,Haloragaceae,NA,Trait: relative net photosynthesis.,v2,9
maximum photosynthetic capacity,NA,micromol o2 mg(Chl a)^-1 h^-1,Bacillariales,Bacillariaceae,NA,Trait: maximum photosynthetic capacity.,v2,9
observed co2 uptake rates,NA,micromol m^-2 s^-1,Alismatales,Zosteraceae,NA,Trait: observed co2 uptake rates.,v2,9
light-saturated net photosynthesis,NA,micromol co2 g^-1 min^-1,Gigartinales,Phyllophoraceae,NA,Trait: light-saturated net photosynthesis.,v2,9
apparent net photosynthesis,NA,microg C cm^-2 h^-1,Desmarestiales,Desmarestiaceae,NA,Trait: apparent net photosynthesis.,v2,9
rate of photosynthesis,NA,mm^3 o2 cm^-2 h^-1,Chlorellales,Chlorellaceae,NA,Trait: rate of photosynthesis.,v2,9
CO2 uptake rate,NA,mg co2 h^-1 g^-1,Poales,Cyperaceae,NA,Trait: CO2 uptake rate.,v2,9
cell-specific photosynthesis rate,NA,fmol C cell^-1 min^-1,Naviculales,Phaeodactylaceae,NA,Trait: cell-specific photosynthesis rate.,v2,9
net co2 flux density,NA,micromol m^-2 s^-1,Fagales,Betulaceae,mature,Trait: net co2 flux density.,v2,9
net assimilation,NA,micromol m^-2 s^-1,Fagales,Fagaceae,mature,Trait: net assimilation.,v2,9
photosynthesis rate,NA,micromol co2 m^-2 s^-1,Poales,Poaceae,35-days old leaves,Trait: photosynthesis rate.,v2,9
relative net phtotsynthesis,NA,nanomol co2 g^-1 s^-1,Fagales,Nothofagaceae,3-year old leaves,Trait: relative net phtotsynthesis.,v2,9
net co2 echange,NA,micromol m^-2 s^-1,Myrtales,Onagraceae,mature,Trait: net co2 echange.,v2,9
photosynthetic o2 evolution,NA,micromol m^-2 s^-1,Poales,Poaceae,NA,Trait: photosynthetic o2 evolution.,v2,9
co2 exchange,NA,mg co2 hr^-1 g dry wt^-1,Poales,Poaceae,2.5 weeks after anthesis,Trait: co2 exchange.,v2,9
Amax,light-saturated net rate of CO2 assimilation,micromol CO2 m^-2 s^-1,Fagales,Fagaceae,sapling,Trait: Amax. Definition: light-saturated net rate of CO2 assimilation.,v2,-1
Net assimilation rate,light-saturated photosynthesis,micromol m^-2 s^-1,Malpighiales,Salicaceae,2.5 month-old,Trait: Net assimilation rate. Definition: light-saturated photosynthesis.,v2,9
Anet,net rate of CO2 assimilation,micromol CO2 m^-2 s^-1,Caryophyllales,Amaranthaceae,2-month-old,Trait: Anet. Definition: net rate of CO2 assimilation.,v2,9
Pn,photosynthetic rate,micromol CO2 m^-2 s^-1,Poales,Poaceae,NA,Trait: Pn. Definition: photosynthetic rate.,v2,9
An272,net photosynthetic rate at common ambient [CO2],micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: An272. Definition: net photosynthetic rate at common ambient [CO2].,v2,9
An408,net photosynthetic rate at common elevated [CO2],micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: An408. Definition: net photosynthetic rate at common elevated [CO2].,v2,9
AnT,net photosynthetic rate in ambient [CO2],micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: AnT. Definition: net photosynthetic rate in ambient [CO2].,v2,9
AnT,net photosynthetic rate in elevated [CO2],micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: AnT. Definition: net photosynthetic rate in elevated [CO2].,v2,9
Net A,net CO2 assimilation rate,micromol m^-2 s^-1,Solanales,Solanaceae,NA,Trait: Net A. Definition: net CO2 assimilation rate.,v2,9
A,net CO2 assimilation rate,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: A. Definition: net CO2 assimilation rate.,v2,9
Net assimilation rate,net CO2 ssimilation rate,micromol CO2 m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Net assimilation rate. Definition: net CO2 ssimilation rate.,v2,9
photosynthetic O2 evolution rate,NA,micromol o2 m^-2 s^-1,Caryophyllales,Amaranthaceae,NA,Trait: photosynthetic O2 evolution rate.,v2,9
maximum photosynthesis rate,NA,micromol o2 m^-2 s^-1,Saxifragales,Saxifragaceae,NA,Trait: maximum photosynthesis rate.,v2,9
oxygen evolution rate,NA,micromol o2 mg(Chl)^-1 h^-1,Synechococcales,Merismopediaceae,NA,Trait: oxygen evolution rate.,v2,9
maximum net photosynthesis rate,NA,mg o2 g(DW)^-1 h^-1,Bonnemaisoniales,Bonnemaisoniaceae,NA,Trait: maximum net photosynthesis rate.,v2,9
Chl a-normalised gross photosynthesis rate,NA,g C g(Chl a)^-1 h^-1,Sphaeropleales,Scenedesmaceae,NA,Trait: Chl a-normalised gross photosynthesis rate.,v2,9
log gross photosynthetic activity,NA,micromol o2 mg^-1 chl h-1,Klebsormidiales,Klebsormidiaceae,NA,Trait: log gross photosynthetic activity.,v2,9
net maximum primary production,NA,mg o2 g leaf^-1 h^-1,Alismatales,Posidoniaceae,NA,Trait: net maximum primary production.,v2,-1
o2 evolution,NA,micromol (mg chl)^-1 h^-1,Oscillatoriales,NA,NA,Trait: o2 evolution.,v2,9
Mass-Specific Photosynthetic Oxygen Production Rate,Organic biomass-specific oxygen mass production rate through photosynthesis,milligram / (1 gram (body mass - dry) * 1 hour),Bryopsidales,Caulerpaceae,adult,Trait: Mass-Specific Photosynthetic Oxygen Production Rate. Definition: Organic biomass-specific oxygen mass production rate through photosynthesis.,v2,9
Surface Area-Specific Photosynthetic Oxygen Production Rate,Surface area-specific oxygen production rate through photosynthesis,gram / (1 square meter * 1 second),Proteales,Proteaceae,adult,Trait: Surface Area-Specific Photosynthetic Oxygen Production Rate. Definition: Surface area-specific oxygen production rate through photosynthesis.,v2,-1
POC Photosynthetic Oxygen Production Rate,Carbon-specific (POC) oxygen production rate through photosynthesis measured as mass of oxygen per mass of POC per time,gram / (1 milligram * 1 hour),Prorocentrales,Prorocentraceae,NA,Trait: POC Photosynthetic Oxygen Production Rate. Definition: Carbon-specific (POC) oxygen production rate through photosynthesis measured as mass of oxygen per mass of POC per time.,v2,-1
Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,gram / (1 gram (body mass - dry) * 1 hour),Corallinales,Corallinaceae,NA,Trait: Mass-Specific Respiration Rate. Definition: Organic mass-specific oxygen mass consumption rate during respiration.,v2,9
change in o2 (respiration),NA,mg o2 (10 minutes^-1),Scleractinia,Pocilloporidae,NA,Trait: change in o2 (respiration).,v2,9
dark respiration,NA,micromol o2 dm^-2 min^-1,Alismatales,Zosteraceae,NA,Trait: dark respiration.,v2,9
respiration / specific growth rate,NA,micro (day^-1),Cladophorales,Cladophoraceae,inocolum,Trait: respiration / specific growth rate.,v2,9
respiration,NA,micromol o2 mg(Chl)^-1 h^-1,Klebsormidiales,Klebsormidiaceae,NA,Trait: respiration.,v2,9
respiratory activity,NA,micromol o2 mg(Chl)^-1 h^-1,NA,NA,NA,Trait: respiratory activity.,v2,9
o2 uptake in the dark,NA,microg o2 mg(Chl)^-1 min^-1,Alismatales,Hydrocharitaceae,NA,Trait: o2 uptake in the dark.,v2,-1
dark respiration rate,NA,mmol kg^-1 h^-1,Caryophyllales,Droseraceae,NA,Trait: dark respiration rate.,v2,9
respiration rate,NA,microl o2 g(DW)^-1 h^-1,Ceramiales,Rhodomelaceae,NA,Trait: respiration rate.,v2,9
night respiration,NA,%,Asterales,Asteraceae,NA,Trait: night respiration.,v2,9
normalised co2 flux,NA,?,Pinales,Pinaceae,NA,Trait: normalised co2 flux.,v2,-1
Surface Area-Specific Dark Respiration Rate,Surface area-specific carbon dioxide produced during dark respiration,gram / (1 square centimeter * 1 second),Fagales,Fagaceae,adult,Trait: Surface Area-Specific Dark Respiration Rate. Definition: Surface area-specific carbon dioxide produced during dark respiration.,v2,-1
Surface Area-Specific Mitochondrial Respiration Rate,Surface-area specific respiration rate in leaf mitochondria during photosynthesis,gram / (1 square centimeter * 1 second),Myrtales,Myrtaceae,juvenile,Trait: Surface Area-Specific Mitochondrial Respiration Rate. Definition: Surface-area specific respiration rate in leaf mitochondria during photosynthesis.,v2,-1
root respiration rate,NA,micromol co2 kg^-1 s^-1,Asparagales,Asparagaceae,2 years old,Trait: root respiration rate.,v2,9
leaf respiration,NA,micromol co2 m^-2 s^-1,Myrtales,Myrtaceae,NA,Trait: leaf respiration.,v2,9
co2 exchange (respiration),NA,nmol co2 cm^-2 s^-1,Zygophyllales,Zygophyllaceae,NA,Trait: co2 exchange (respiration).,v2,9
dark co2 efflux,NA,micromol m^-2 s^-1,Poales,Poaceae,"mature wheat, 30 days old",Trait: dark co2 efflux.,v2,9
day respiration rate,NA,micromol m^-2 s^-1,Pinales,Pinaceae,1 year old,Trait: day respiration rate.,v2,9
respiration after photosynthesis,NA,micromol co2 mg(Chl)^-1 h^-1,Caryophyllales,Amaranthaceae,"old plants, 4-6 week",Trait: respiration after photosynthesis.,v2,9
respiration after dark period,NA,micromol co2 mg(Chl)^-1 h^-1,Caryophyllales,Amaranthaceae,"old plants, 4-6 week",Trait: respiration after dark period.,v2,9
respiration before photosynthesis,NA,micromol o2 mg(Chl)^-1 h^-1,Caryophyllales,Amaranthaceae,"old plants, 4-6 week",Trait: respiration before photosynthesis.,v2,9
root respiration,NA,micromol co2 kg^-1 s^-1,Caryophyllales,Cactaceae,NA,Trait: root respiration.,v2,9
Area-based respiration rate,NA,micromol m^-2 s^-1,Sapindales,Aceraceae,NA,Trait: Area-based respiration rate.,v2,9
Mass-based respiration rate,NA,nmol g^-1 s^-1,Sapindales,Aceraceae,NA,Trait: Mass-based respiration rate.,v2,9
total co2 produced,NA,mg c g(DW)^-1,Fabales,Fabaceae,4-7 weeks old,Trait: total co2 produced.,v2,-1
co2 production rate,NA,microW mg^-1,Solanales,Solanaceae,NA,Trait: co2 production rate.,v2,9
oxygen evolution rate in thylakoid membranes,NA,micromol o2 mg(Chl)^-1 h^-1,Synechococcales,Merismopediaceae,NA,Trait: oxygen evolution rate in thylakoid membranes.,v2,9
dark capacity respiration rate,NA,micromol O2 g^-1 h^-1,Alismatales,Zosteraceae,NA,Trait: dark capacity respiration rate.,v2,9
o2 consumption,NA,micromol g^-1 h^-1,Poales,Poaceae,NA,Trait: o2 consumption.,v2,9
o2 uptake,NA,micromol (mg chl)^-1 h^-1,Oscillatoriales,NA,NA,Trait: o2 uptake.,v2,9
oxygen consumption,NA,micromol g^-1 s^-1,Alismatales,Araceae,NA,Trait: oxygen consumption.,v2,9
Vcmax,light-saturated in vivo Rubisco carboxylation rate,micromol CO2 m^-2 s^-1,Fagales,Fagaceae,sapling,Trait: Vcmax. Definition: light-saturated in vivo Rubisco carboxylation rate.,v2,-1
Agross,light-saturated gross rate CO2 assimilation,micromol CO2 m^-2 s^-1,Fagales,Fagaceae,sapling,Trait: Agross. Definition: light-saturated gross rate CO2 assimilation.,v2,-1
RL,photorespiration rate at saturating irradiance,micromol CO2 m^-2 s^-1,Fagales,Fagaceae,sapling,Trait: RL. Definition: photorespiration rate at saturating irradiance.,v2,-1
Leaf Respiration rate,CO2 respiratory release,micromol CO2 m^-2 s^-1,Myrtales,Myrtaceae,3-year-old,Trait: Leaf Respiration rate. Definition: CO2 respiratory release.,v2,9
Germination rate,reciprocal of time to reach cumulative germination percentage to 50% of total germinated seeds,1/h,Ranunculales,Papaveraceae,NA,Trait: Germination rate. Definition: reciprocal of time to reach cumulative germination percentage to 50% of total germinated seeds.,v2,1
Jmax,maximum electron transport rate,micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: Jmax. Definition: maximum electron transport rate.,v2,-1
Vcmax,maximum rate of Rubisco carboxylation,micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: Vcmax. Definition: maximum rate of Rubisco carboxylation.,v2,-1
Rds,rate of respiration in the dark,micromol m^-2 s^-1,Malpighiales,Salicaceae,2.5 month-old,Trait: Rds. Definition: rate of respiration in the dark.,v2,9
Rn,respiration rate in the dark,micromol m^-2 s^-1,Caryophyllales,Amaranthaceae,2-month-old,Trait: Rn. Definition: respiration rate in the dark.,v2,9
Flowering rate,reciprocal of the time taken for a given fraction of the seed population to flower,1/d,Asterales,Asteraceae,NA,Trait: Flowering rate. Definition: reciprocal of the time taken for a given fraction of the seed population to flower.,v2,1
Shoot respiration,rate of shoot respiration in the dark,nanomol CO2 g^-1 s^-1,Fagales,Betulaceae,shoot,Trait: Shoot respiration. Definition: rate of shoot respiration in the dark.,v2,9
Germination rate,inverse of time span for 50% germination,NA,Apiales,Apiaceae,NA,Trait: Germination rate. Definition: inverse of time span for 50% germination.,v2,1
R,respiration rate in the dark,micromol CO2 m^-2 s^-1,Poales,Poaceae,NA,Trait: R. Definition: respiration rate in the dark.,v2,9
J,in vivo electron transport rate,micromol m^-2 s^-1,Solanales,Solanaceae,NA,Trait: J. Definition: in vivo electron transport rate.,v2,-1
Maximum cumulative germination,% of seeds germinated,%,Fabales,Fabaceae,NA,Trait: Maximum cumulative germination. Definition: % of seeds germinated.,v2,1
Germination rate,days after sowing to 75% of final germination,DAS75^-1,Poales,Poaceae,NA,Trait: Germination rate. Definition: days after sowing to 75% of final germination.,v2,1
Germination rate,inverse of the number of days to 50% germination,1/day,Apiales,Apiaceae,NA,Trait: Germination rate. Definition: inverse of the number of days to 50% germination.,v2,1
Germination rate,final cumulative germination percentage,%,Fabales,Fabaceae,NA,Trait: Germination rate. Definition: final cumulative germination percentage.,v2,1
Emergence rate,inverse of days from sowing date,1/day,Poales,Poaceae,NA,Trait: Emergence rate. Definition: inverse of days from sowing date.,v2,1
Rd,day respiration rate in illuminated leaf,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Rd. Definition: day respiration rate in illuminated leaf.,v2,9
Vcmax,maximum carboxylation rate,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Vcmax. Definition: maximum carboxylation rate.,v2,-1
Vomax,maximum rate of oxygenation of Rubisco,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Vomax. Definition: maximum rate of oxygenation of Rubisco.,v2,-1
Jmax,maximum rate of electron transport in thylakoids,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Jmax. Definition: maximum rate of electron transport in thylakoids.,v2,-1
gs,temperature response of stomatal conductance,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: gs. Definition: temperature response of stomatal conductance.,v2,-1
gm,temperature response of mesophyll conductance,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: gm. Definition: temperature response of mesophyll conductance.,v2,-1
Elongation rate,inverse of hours to reach 5 cm length,cm/h,Fabales,Fabaceae,NA,Trait: Elongation rate. Definition: inverse of hours to reach 5 cm length.,v2,-1
Germination rate,reciprocal of germination time,%,Poales,Poaceae,NA,Trait: Germination rate. Definition: reciprocal of germination time.,v2,1
Parasitization rate,ratio of mummies to the total number of P. solenopsis adults or nymphs present,%,Hymenoptera,Encyrtidae,adult,Trait: Parasitization rate. Definition: ratio of mummies to the total number of P. solenopsis adults or nymphs present.,v2,3
Growth rate,rate of change of larval weight across time,mg/day,Lepidoptera,Tortricidae,mid-instar,Trait: Growth rate. Definition: rate of change of larval weight across time.,v2,-1
Germination rate,inverse of time to reach 75% germination,1/t75,Fabales,Fabaceae,NA,Trait: Germination rate. Definition: inverse of time to reach 75% germination.,v2,1
Germination rate,time to reach 50% germination,1/day,Asterales,Asteraceae,NA,Trait: Germination rate. Definition: time to reach 50% germination.,v2,1
Emergence rate,inverse of timespan to 50% emergence,1/t50,Asparagales,Amaryllidaceae,NA,Trait: Emergence rate. Definition: inverse of timespan to 50% emergence.,v2,1
Germination rate,number of seeds germinated per day,1/day,Poales,Poaceae,NA,Trait: Germination rate. Definition: number of seeds germinated per day.,v2,1
CO2 compensation point,compensation point in absenceof day respiration,Pa,Brassicales,Brassicaceae,31-40 days old,Trait: CO2 compensation point. Definition: compensation point in absenceof day respiration.,v2,-1
