OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,Interactor1Stage,text,version,cluster_id
lifespan,mean duration of entrie lifespan (from egg to adult death),days,Hymenoptera,Eulophidae,NA,Trait: lifespan. Definition: mean duration of entrie lifespan (from egg to adult death). Unit: days. Organism order: Hymenoptera. Organism family: Eulophidae. Life stage: not specified.,v6,-1
preoviposition period,mean duration from adult emergence to onset of reproduction,days,Hymenoptera,Eulophidae,adult,Trait: preoviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Hymenoptera. Organism family: Eulophidae. Life stage: adult.,v6,19
total preoviposition period,mean duration from egg to onset of reproduction,days,Hymenoptera,Eulophidae,adult,Trait: total preoviposition period. Definition: mean duration from egg to onset of reproduction. Unit: days. Organism order: Hymenoptera. Organism family: Eulophidae. Life stage: adult.,v6,-1
oviposition period,mean duration of life stage,days,Hymenoptera,Eulophidae,adult,Trait: oviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Hymenoptera. Organism family: Eulophidae. Life stage: adult.,v6,-1
fecundity,mean eggs individual-1,eggs,Hymenoptera,Eulophidae,adult,Trait: fecundity. Definition: mean eggs individual-1. Unit: eggs. Organism order: Hymenoptera. Organism family: Eulophidae. Life stage: adult.,v6,3
sex ratio,mean proportion of female adults cohort-1,ratio,Hymenoptera,Eulophidae,adult,Trait: sex ratio. Definition: mean proportion of female adults cohort-1. Unit: ratio. Organism order: Hymenoptera. Organism family: Eulophidae. Life stage: adult.,v6,-1
developmental time,mean duration of life stage,days,Hemiptera,Liviidae,egg,Trait: developmental time. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Liviidae. Life stage: egg.,v6,15
longevity,mean duration of life,days,Hemiptera,Liviidae,adult,Trait: longevity. Definition: mean duration of life. Unit: days. Organism order: Hemiptera. Organism family: Liviidae. Life stage: adult.,v6,13
fecundity,mean lifetime total number of nymphs,progeny individual-1,Hemiptera,Liviidae,adult,Trait: fecundity. Definition: mean lifetime total number of nymphs. Unit: progeny individual-1. Organism order: Hemiptera. Organism family: Liviidae. Life stage: adult.,v6,3
mortality,mean percent not surviving life stage,percent,Hemiptera,Psyllidae,egg,Trait: mortality. Definition: mean percent not surviving life stage. Unit: percent. Organism order: Hemiptera. Organism family: Psyllidae. Life stage: egg.,v6,11
sex ratio,ratio of male psyllids to female psyllids,ratio,Hemiptera,Liviidae,egg,Trait: sex ratio. Definition: ratio of male psyllids to female psyllids. Unit: ratio. Organism order: Hemiptera. Organism family: Liviidae. Life stage: egg.,v6,-1
head capsule width,mean width of head capsule,mm,Hemiptera,Liviidae,N1,Trait: head capsule width. Definition: mean width of head capsule. Unit: mm. Organism order: Hemiptera. Organism family: Liviidae. Life stage: N1.,v6,-1
fecundity,mean liftetime eggs,eggs individual-1,Hemiptera,Liviidae,juvenile,Trait: fecundity. Definition: mean liftetime eggs. Unit: eggs individual-1. Organism order: Hemiptera. Organism family: Liviidae. Life stage: juvenile.,v6,3
cold hardiness,percent of eggs hatched after being exposed to freezing temperatures for a given duration of time,percent,Hemiptera,Liviidae,egg,Trait: cold hardiness. Definition: percent of eggs hatched after being exposed to freezing temperatures for a given duration of time. Unit: percent. Organism order: Hemiptera. Organism family: Liviidae. Life stage: egg.,v6,-1
temperature thresholds for oviposition,number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held,number of eggs,Hemiptera,Liviidae,adult,Trait: temperature thresholds for oviposition. Definition: number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held. Unit: number of eggs. Organism order: Hemiptera. Organism family: Liviidae. Life stage: adult.,v6,-1
mortality rate,inverse of mean longevity,days-1,Hemiptera,Aphididae,adult,Trait: mortality rate. Definition: inverse of mean longevity. Unit: days-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,-1
fecundity,mean lifetime progeny,progeny individual-1,Hemiptera,Aphididae,adult,Trait: fecundity. Definition: mean lifetime progeny. Unit: progeny individual-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
longevity,percent not surviving life stage,days,Hemiptera,Aphididae,adult,Trait: longevity. Definition: percent not surviving life stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,13
fecundity rate,mean progeny per unit time,progeny individual-1 day-1,Hemiptera,Aphididae,adult,Trait: fecundity rate. Definition: mean progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
reproductive and post-reproductive periods,mean duration of life stage,days,Homoptera,Aphididae,adult,Trait: reproductive and post-reproductive periods. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,18
age at first reproduction,mean duration of life stage,days,Homoptera,Aphididae,adult,Trait: age at first reproduction. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,18
life cycle,mean duration of entire life cycle,days,Homoptera,Aphididae,adult,Trait: life cycle. Definition: mean duration of entire life cycle. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,-1
age at first reproduction,mean duration from birth to onset of reproduction,days,Hemiptera,Aphididae,juvenile and adult,Trait: age at first reproduction. Definition: mean duration from birth to onset of reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile and adult.,v6,18
fecundity rate,mean maximum progeny per unit time,progeny individual-1 day-1,Hemiptera,Aphididae,adult,Trait: fecundity rate. Definition: mean maximum progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
development rate,replicate-level mean rate of life stage completion,days-1,Homoptera,Aphididae,juvenile (birth to adult),Trait: development rate. Definition: replicate-level mean rate of life stage completion. Unit: days-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: juvenile (birth to adult).,v6,15
development time,mean duration of juvenile stages and from adult emergence to the onset of reproduction,days,Homoptera,Aphididae,juvenile (birth to adult),Trait: development time. Definition: mean duration of juvenile stages and from adult emergence to the onset of reproduction. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: juvenile (birth to adult).,v6,15
fecundity rate,maximum number of offspring per female per day,nymphs individual-1 day-1,Hemiptera,Aphididae,adult,Trait: fecundity rate. Definition: maximum number of offspring per female per day. Unit: nymphs individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
fecundity rate,mean number of nymphs per day per female,progeny individual-1 day-1,Hemiptera,Aphididae,adult (fundatrigenia),Trait: fecundity rate. Definition: mean number of nymphs per day per female. Unit: progeny individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult (fundatrigenia).,v6,3
development rate,inverse of the mean duration of life stage,days-1,Hemiptera,Aphididae,N1 (alienicolae),Trait: development rate. Definition: inverse of the mean duration of life stage. Unit: days-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: N1 (alienicolae).,v6,15
fecundity,mean duration of life stage,progeny individual-1,Hemiptera,Aphididae,adult,Trait: fecundity. Definition: mean duration of life stage. Unit: progeny individual-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
age at first reproduction,mean age at the onset of reproduction,days,Hemiptera,Aphididae,juvenile (birth to reproductive adult),Trait: age at first reproduction. Definition: mean age at the onset of reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile (birth to reproductive adult).,v6,18
post-reproductive period,mean duration of life stage,days,Homoptera,Aphididae,adult,Trait: post-reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,18
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,Hemiptera,Aphididae,juvenile (birth to adult),Trait: growth rate. Definition: mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time). Unit: ug ug-1 day-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile (birth to adult).,v6,-1
body length,replicate-level mean body length,mm,Hemiptera,Aphididae,adult,Trait: body length. Definition: replicate-level mean body length. Unit: mm. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,-1
fecundity rate,maximum progeny per unit time,progeny individual-1 day-1,Hemiptera,Aphididae,adult,Trait: fecundity rate. Definition: maximum progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
effective fecundity,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Homoptera,Aphididae,adult,Trait: effective fecundity. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
body size (alate),mean wet mass,mg,Homoptera,Aphididae,adult,Trait: body size (alate). Definition: mean wet mass. Unit: mg. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,6
body size (apterous),mean wet mass,mg,Homoptera,Aphididae,adult,Trait: body size (apterous). Definition: mean wet mass. Unit: mg. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,6
maximum fecundity,mean duration from onset of reproduction to maximum reproductive output,days,Hemiptera,Aphididae,adult,Trait: maximum fecundity. Definition: mean duration from onset of reproduction to maximum reproductive output. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
fecundity rate,mean duration of life stage,progeny individual-1 day-1,Homoptera,Aphididae,adult,Trait: fecundity rate. Definition: mean duration of life stage. Unit: progeny individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
pre-reproductive period,mean rate of life stage completion,days,Hemiptera,Aphididae,juvenile (birth to adult),Trait: pre-reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile (birth to adult).,v6,18
reproductive period,mean rate of life stage completion,days,Hemiptera,Aphididae,juvenile (birth to adult),Trait: reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile (birth to adult).,v6,18
post-reproductive period,mean rate of life stage completion,days,Hemiptera,Aphididae,juvenile (birth to adult),Trait: post-reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile (birth to adult).,v6,18
longevity,mean rate of life stage completion,days,Hemiptera,Aphididae,adult,Trait: longevity. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,13
body size (alate nymph),mean wet mass,days,Hemiptera,Aphididae,N1,Trait: body size (alate nymph). Definition: mean wet mass. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: N1.,v6,6
body size (apterous nymph),mean wet mass,days,Hemiptera,Aphididae,adult,Trait: body size (apterous nymph). Definition: mean wet mass. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,6
fecundity (alate),mean lifetime offspring,days,Hemiptera,Aphididae,adult,Trait: fecundity (alate). Definition: mean lifetime offspring. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
fecundity (apterous),mean lifetime offspring,days,Hemiptera,Aphididae,adult,Trait: fecundity (apterous). Definition: mean lifetime offspring. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
development time,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Homoptera,Aphididae,N1,Trait: development time. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: N1.,v6,-1
longevity,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Homoptera,Aphididae,adult,Trait: longevity. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,13
fecundity,mean population-level offspring (100 individuals),days,Hemiptera,Aphididae,adult,Trait: fecundity. Definition: mean population-level offspring (100 individuals). Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
longevity,mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor),days,Homoptera,Aphididae,adult (apterous),Trait: longevity. Definition: mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor). Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult (apterous).,v6,13
fecundity,total population-level number of offspring produced,offspring,Hemiptera,Aphididae,juvenile (N1 to adult),Trait: fecundity. Definition: total population-level number of offspring produced. Unit: offspring. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile (N1 to adult).,v6,3
body size (length),mean body length,mm,Hemiptera,Aphididae,adult,Trait: body size (length). Definition: mean body length. Unit: mm. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,6
fecundity rate,mean offspring per reproduction day,offspring individual-1 day-1,Homoptera,Aphididae,adult,Trait: fecundity rate. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
fecundity,mean lifetime progeny per female,progeny individual-1,Homoptera,Aphididae,adult,Trait: fecundity. Definition: mean lifetime progeny per female. Unit: progeny individual-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
body size (length),mean body length (adult),mm,Hemiptera,Aphididae,adult,Trait: body size (length). Definition: mean body length (adult). Unit: mm. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,6
body size (mass),mean wet mass,mg,Hemiptera,Aphididae,adult,Trait: body size (mass). Definition: mean wet mass. Unit: mg. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,6
fecundity rate (apterous),mean offspring per unit time,offspring individual-1 day-1,Homoptera,Aphididae,adult,Trait: fecundity rate (apterous). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
fecundity rate (alate),mean offspring per unit time,offspring individual-1 day-1,Homoptera,Aphididae,adult,Trait: fecundity rate (alate). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
longevity (apterous),mean duration of life stage,days,Homoptera,Aphididae,adult,Trait: longevity (apterous). Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,13
longevity (alate),mean duration of life stage,days,Homoptera,Aphididae,adult,Trait: longevity (alate). Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,13
development duration,period at 4th instar,days,Hemiptera,Aphididae,immature,Trait: development duration. Definition: period at 4th instar. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: immature.,v6,-1
fertility,number of offspring produced,number of offspring,Hemiptera,Aphididae,NA,Trait: fertility. Definition: number of offspring produced. Unit: number of offspring. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,3
oviposition,period of oviposition in days,days,Hemiptera,Aphididae,NA,Trait: oviposition. Definition: period of oviposition in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,-1
adult longevity,lifespan over time,days,Hemiptera,Aphididae,NA,Trait: adult longevity. Definition: lifespan over time. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,13
pre-reproductive period,period of time before female aphids reproduce,days,Hemiptera,Aphididae,NA,Trait: pre-reproductive period. Definition: period of time before female aphids reproduce. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,18
reproductive period,period of time where female aphids reproduce,days,Hemiptera,Aphididae,NA,Trait: reproductive period. Definition: period of time where female aphids reproduce. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,-1
nymph production,number of nymphs produced / female,number of nymphs produced / female,Hemiptera,Aphididae,NA,Trait: nymph production. Definition: number of nymphs produced / female. Unit: number of nymphs produced / female. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,-1
longevity,aphid lifespan,days,Hemiptera,Aphididae,NA,Trait: longevity. Definition: aphid lifespan. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,13
longevity,lifespan of aphids,days,Hemiptera,Aphididae,NA,Trait: longevity. Definition: lifespan of aphids. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,13
fecundity,mean of daily newborn nymph counts,mean number of nymphs,Hemiptera,Aphididae,NA,Trait: fecundity. Definition: mean of daily newborn nymph counts. Unit: mean number of nymphs. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,3
pre-reproduction period,duration of developmental phases in days,days,Hemiptera,Aphididae,NA,Trait: pre-reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,18
reproduction period,duration of developmental phases in days,days,Hemiptera,Aphididae,NA,Trait: reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,18
post-reproduction period,duration of developmental phases in days,days,Hemiptera,Aphididae,NA,Trait: post-reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,18
survival,cumulative daily survival,lx,Hemiptera,Aphididae,NA,Trait: survival. Definition: cumulative daily survival. Unit: lx. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,-1
average daily fecundity,daily fecundity of female aphids,mx,Hemiptera,Aphididae,NA,Trait: average daily fecundity. Definition: daily fecundity of female aphids. Unit: mx. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,3
development time,nymphal development time,days,Hemiptera,Aphididae,NA,Trait: development time. Definition: nymphal development time. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,15
adult longevity,period from adult emergence until death,days,Hemiptera,Aphididae,adult,Trait: adult longevity. Definition: period from adult emergence until death. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,13
mean fecundity,number of nymphs deposited,oviparae/gynoparae,Hemiptera,Aphididae,adult,Trait: mean fecundity. Definition: number of nymphs deposited. Unit: oviparae/gynoparae. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
percent survival,percent of adult aphids that were still alive each day,percent,Hemiptera,Aphididae,NA,Trait: percent survival. Definition: percent of adult aphids that were still alive each day. Unit: percent. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,-1
longevity,adult aphid survival,days,Hemiptera,Aphididae,NA,Trait: longevity. Definition: adult aphid survival. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,13
age-specific daily fecundity,new nymphs produced each day,mean number of nymphs,Hemiptera,Aphididae,NA,Trait: age-specific daily fecundity. Definition: new nymphs produced each day. Unit: mean number of nymphs. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,3
feeding behavior,initiation of stylet penetration of leaf tissue,percent,Hemiptera,Aphididae,NA,Trait: feeding behavior. Definition: initiation of stylet penetration of leaf tissue. Unit: percent. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,-1
developmental time,number of days at each developmental stage,days,Hemiptera,Aphididae,1st nymph period,Trait: developmental time. Definition: number of days at each developmental stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: 1st nymph period.,v6,15
mean longevity,mean lifespan in days,days,Hemiptera,Aphididae,NA,Trait: mean longevity. Definition: mean lifespan in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,13
mean fecundity,mean number of offspring produced by females,female/female,Hemiptera,Aphididae,NA,Trait: mean fecundity. Definition: mean number of offspring produced by females. Unit: female/female. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,3
Pre-reproductive average,Period from birth until first molt,days,Hemiptera,Aphididae,N1,Trait: Pre-reproductive average. Definition: Period from birth until first molt. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: N1.,v6,-1
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,Hemiptera,Aphididae,NA,Trait: Reproductive average. Definition: Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,-1
Reproductive average daily fecundity,the number of newborn nymphs (N1) per female per day,nymphs per day,Hemiptera,Aphididae,NA,Trait: Reproductive average daily fecundity. Definition: the number of newborn nymphs (N1) per female per day. Unit: nymphs per day. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,3
Reproductive average total fecundity,the number of newborn nymphs (N1) per female,nymphs,Hemiptera,Aphididae,NA,Trait: Reproductive average total fecundity. Definition: the number of newborn nymphs (N1) per female. Unit: nymphs. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,3
Post-reproductive average,period from the end of reproduction until death,days,Hemiptera,Aphididae,NA,Trait: Post-reproductive average. Definition: period from the end of reproduction until death. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,-1
Longevity,"sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive)",days,Hemiptera,Aphididae,NA,"Trait: Longevity. Definition: sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive). Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.",v6,13
development time,mean nymphal development time,days,Hemiptera,Aphididae,nymph,Trait: development time. Definition: mean nymphal development time. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: nymph.,v6,15
adult longevity,lifespan of adult aphids,days,Hemiptera,Aphididae,adult,Trait: adult longevity. Definition: lifespan of adult aphids. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,13
aphid longevity,lifespan of aphids,days,Hemiptera,Aphididae,NA,Trait: aphid longevity. Definition: lifespan of aphids. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,13
fecundity,number of aphids produced,number of offspring,Hemiptera,Aphididae,NA,Trait: fecundity. Definition: number of aphids produced. Unit: number of offspring. Organism order: Hemiptera. Organism family: Aphididae. Life stage: not specified.,v6,3
body size,mean of weight (unfed),mg,Ixodida,Ixodidae,larval,Trait: body size. Definition: mean of weight (unfed). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,7
body size,mean of weight (engorged),mg,Ixodida,Ixodidae,Nymph,Trait: body size. Definition: mean of weight (engorged). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: Nymph.,v6,7
hypostome length,mean length of hypostome (appendage on the mouth),mm,Ixodida,Ixodidae,larval,Trait: hypostome length. Definition: mean length of hypostome (appendage on the mouth). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,-1
body length,mean length (unfed ),mm,Ixodida,Ixodidae,larval,Trait: body length. Definition: mean length (unfed ). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,7
body length,mean length (engorged ),mm,Ixodida,Ixodidae,nymph,Trait: body length. Definition: mean length (engorged ). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,7
body width,mean width (unfed),mm,Ixodida,Ixodidae,larval,Trait: body width. Definition: mean width (unfed). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,7
body width,mean width (engorged),mm,Ixodida,Ixodidae,nymph,Trait: body width. Definition: mean width (engorged). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,7
development time,mean duration of incubation period,days,Ixodida,Ixodidae,egg,Trait: development time. Definition: mean duration of incubation period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,15
development time,mean duration of attachment period,days,Ixodida,Ixodidae,larval,Trait: development time. Definition: mean duration of attachment period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,15
development time,mean duration of premoulting period,days,Ixodida,Ixodidae,Nymph,Trait: development time. Definition: mean duration of premoulting period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: Nymph.,v6,15
feeding period,mean duration of feeding period,days,Ixodida,Ixodidae,adult,Trait: feeding period. Definition: mean duration of feeding period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,17
preoviposition period,mean days in preoviposition,days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: mean days in preoviposition. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
longevity,individual-level duration of adult female life stage,days,Ixodida,Ixodidae,adult,Trait: longevity. Definition: individual-level duration of adult female life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,13
preoviposition period,individual-level duration of prereproductive period (end of feeding until oviposition),days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: individual-level duration of prereproductive period (end of feeding until oviposition). Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
ovipositional period,individual-level duration of reproductive period,days,Ixodida,Ixodidae,adult,Trait: ovipositional period. Definition: individual-level duration of reproductive period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
fecundity rate,maximum number of eggs produced in a single day by an individual female,eggs individual-1 day-1,Ixodida,Ixodidae,adult,Trait: fecundity rate. Definition: maximum number of eggs produced in a single day by an individual female. Unit: eggs individual-1 day-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
peak fecundity,day post engorgement on which an individual female laid most eggs,days,Ixodida,Ixodidae,adult,Trait: peak fecundity. Definition: day post engorgement on which an individual female laid most eggs. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
body size,mean wet mass of an individual tick post engorgement,mg,Ixodida,Ixodidae,adult,Trait: body size. Definition: mean wet mass of an individual tick post engorgement. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
survival rate,percentage of starved larval ticks that survived to the days listed,percent,Ixodida,Ixodidae,larvae,Trait: survival rate. Definition: percentage of starved larval ticks that survived to the days listed. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larvae.,v6,12
survival time,mean survival time of fasting nymphs,days,Ixodida,Ixodidae,larvae,Trait: survival time. Definition: mean survival time of fasting nymphs. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larvae.,v6,10
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,Ixodida,Ixodidae,adult,Trait: Pre-Oviposition Period. Definition: Pre-oviposition period of ticks held at constant temperature. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Oviposition Rate,mean number of eggs per female,eggs,Ixodida,Ixodidae,adult,Trait: Oviposition Rate. Definition: mean number of eggs per female. Unit: eggs. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,Ixodida,Ixodidae,adult,Trait: Weight. Definition: Weight of eggs laid by an individual engorged female raised at constant temp. Unit: g. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
Weight,Weight of an individual engorged female in grams held at constant temperature,g,Ixodida,Ixodidae,adult,Trait: Weight. Definition: Weight of an individual engorged female in grams held at constant temperature. Unit: g. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
