OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,text,version,cluster_id,,,,,,,,,,,
fecundity rate,mean number of nymphs per day per female,progeny individual-1 day-1,Hemiptera,Aphididae,Trait: fecundity rate. Definition: mean number of nymphs per day per female. Unit: progeny individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,maximum progeny per unit time,progeny individual-1 day-1,Hemiptera,Aphididae,Trait: fecundity rate. Definition: maximum progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,mean duration of life stage,progeny individual-1 day-1,Homoptera,Aphididae,Trait: fecundity rate. Definition: mean duration of life stage. Unit: progeny individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,mean offspring per reproduction day,offspring individual-1 day-1,Homoptera,Aphididae,Trait: fecundity rate. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,maximum number of eggs produced in a single day by an individual female,eggs individual-1 day-1,Ixodida,Ixodidae,Trait: fecundity rate. Definition: maximum number of eggs produced in a single day by an individual female. Unit: eggs individual-1 day-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity rate (alate),mean offspring per unit time,offspring individual-1 day-1,Homoptera,Aphididae,Trait: fecundity rate (alate). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate (apterous),mean offspring per unit time,offspring individual-1 day-1,Homoptera,Aphididae,Trait: fecundity rate (apterous). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fertility,mean number of hatched eggs in an individuals lifetime,eggs individual-1,Diptera,Culicidae,Trait: fertility. Definition: mean number of hatched eggs in an individuals lifetime. Unit: eggs individual-1. Organism order: Diptera. Organism family: Culicidae.,v5,5,,,,,,,,,,,
fertility,number of offspring produced,number of offspring,Hemiptera,Aphididae,Trait: fertility. Definition: number of offspring produced. Unit: number of offspring. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
maximum fecundity,mean duration from onset of reproduction to maximum reproductive output,days,Hemiptera,Aphididae,Trait: maximum fecundity. Definition: mean duration from onset of reproduction to maximum reproductive output. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
mean fecundity,number of nymphs deposited,oviparae/gynoparae,Hemiptera,Aphididae,Trait: mean fecundity. Definition: number of nymphs deposited. Unit: oviparae/gynoparae. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
mean fecundity,mean number of offspring produced by females,female/female,Hemiptera,Aphididae,Trait: mean fecundity. Definition: mean number of offspring produced by females. Unit: female/female. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
Body Mass,Weight of an individual engorged female,mg,Ixodida,Ixodidae,Trait: Body Mass. Definition: Weight of an individual engorged female. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,"Body size, egg mass, body length, egg count grouped together",,,,,,,,,
Body Mass,mean daily weight of larvae during their feeding periods,mg,Ixodida,Ixodidae,Trait: Body Mass. Definition: mean daily weight of larvae during their feeding periods. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Body Mass,mean daily weight of nymphs during their pharate periods,mg,Ixodida,Ixodidae,Trait: Body Mass. Definition: mean daily weight of nymphs during their pharate periods. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Body Mass,mean daily weight of nymphs during their feeding periods,mg,Ixodida,Ixodidae,Trait: Body Mass. Definition: mean daily weight of nymphs during their feeding periods. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Egg Mass,Weight of eggs laid by an individual female,mg,Ixodida,Ixodidae,Trait: Egg Mass. Definition: Weight of eggs laid by an individual female. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,Ixodida,Ixodidae,Trait: Weight. Definition: Weight of eggs laid by an individual engorged female raised at constant temp. Unit: g. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Weight,Weight of an individual engorged female in grams held at constant temperature,g,Ixodida,Ixodidae,Trait: Weight. Definition: Weight of an individual engorged female in grams held at constant temperature. Unit: g. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Weight,mean weight of larvae during their feeding period,mg,Ixodida,Ixodidae,Trait: Weight. Definition: mean weight of larvae during their feeding period. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Weight,mean weight of nymphs during their feeding period,mg,Ixodida,Ixodidae,Trait: Weight. Definition: mean weight of nymphs during their feeding period. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Weight,mean weight of engorged nymphs moulting to males,mg,Ixodida,Ixodidae,Trait: Weight. Definition: mean weight of engorged nymphs moulting to males. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body length,mean length (unfed ),mm,Ixodida,Ixodidae,Trait: body length. Definition: mean length (unfed ). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body length,mean length (engorged ),mm,Ixodida,Ixodidae,Trait: body length. Definition: mean length (engorged ). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body mass,mean weight of female,mg,Ixodida,Ixodidae,Trait: body mass. Definition: mean weight of female. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean wet mass on the day feeding was completed,mg,Ixodida,Ixodidae,Trait: body size. Definition: mean wet mass on the day feeding was completed. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean weight of nymphs post-feeding,mg,Ixodida,Ixodidae,Trait: body size. Definition: mean weight of nymphs post-feeding. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean body weight of engorged adult females,mg,Ixodida,Ixodidae,Trait: body size. Definition: mean body weight of engorged adult females. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean wet mass on the day feeding was completed (engorged),mg,Ixodida,Ixodidae,Trait: body size. Definition: mean wet mass on the day feeding was completed (engorged). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean of weight (unfed),mg,Ixodida,Ixodidae,Trait: body size. Definition: mean of weight (unfed). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean of weight (engorged),mg,Ixodida,Ixodidae,Trait: body size. Definition: mean of weight (engorged). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean wet mass of an individual tick post engorgement,mg,Ixodida,Ixodidae,Trait: body size. Definition: mean wet mass of an individual tick post engorgement. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean weight of engorged tick,mg,Ixodida,Ixodidae,Trait: body size. Definition: mean weight of engorged tick. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body size,mean weight of engored nymphs,mg,Ixodida,Ixodidae,Trait: body size. Definition: mean weight of engored nymphs. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body width,mean width (unfed),mm,Ixodida,Ixodidae,Trait: body width. Definition: mean width (unfed). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
body width,mean width (engorged),mm,Ixodida,Ixodidae,Trait: body width. Definition: mean width (engorged). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
egg count,mean number of eggs layed,mg,Ixodida,Ixodidae,Trait: egg count. Definition: mean number of eggs layed. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
egg mass,mean egg mass weight,mg,Ixodida,Ixodidae,Trait: egg mass. Definition: mean egg mass weight. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
egg mass,Mean egg mass by oviposition day of females raised at constant temps,mg,Ixodida,Ixodidae,Trait: egg mass. Definition: Mean egg mass by oviposition day of females raised at constant temps. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
egg mass,mean weight of eggs,mg,Ixodida,Ixodidae,Trait: egg mass. Definition: mean weight of eggs. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
egg size,mean weight of egg mass produced by adult female ticks,mg,Ixodida,Ixodidae,Trait: egg size. Definition: mean weight of egg mass produced by adult female ticks. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
weight,Mean weight on day of hatching,ug,Ixodida,Ixodidae,Trait: weight. Definition: Mean weight on day of hatching. Unit: ug. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
weight,Mean weight 14 days after hatching,ug,Ixodida,Ixodidae,Trait: weight. Definition: Mean weight 14 days after hatching. Unit: ug. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
weight,Mean weight on day of engorgement,ug,Ixodida,Ixodidae,Trait: weight. Definition: Mean weight on day of engorgement. Unit: ug. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
weight,Mean egg mass,mg,Ixodida,Ixodidae,Trait: weight. Definition: Mean egg mass. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,6,,,,,,,,,,,
Weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Ixodida,Ixodidae,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,7,,,,,,,,,,,
Weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Ixodida,Ixodidae,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,7,,,,,,,,,,,
Weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Ixodida,Ixodidae,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,7,,,,,,,,,,,
weight,"Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity""",mg,Ixodida,Ixodidae,"Trait: weight. Definition: Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity"". Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.",v5,7,,,,,,,,,,,
weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Ixodida,Ixodidae,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,7,,,,,,,,,,,
weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Ixodida,Ixodidae,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,7,,,,,,,,,,,
weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Ixodida,Ixodidae,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,7,,,,,,,,,,,
egg hatch,Mean percentage of eggs hatched,percent,Ixodida,Ixodidae,Trait: egg hatch. Definition: Mean percentage of eggs hatched. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
hatch rate,mean hatching rate of egg batches,percent,Ixodida,Ixodidae,Trait: hatch rate. Definition: mean hatching rate of egg batches. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Ixodida,Ixodidae,Trait: hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
hatch rate,percentage of egg masses producing larvae,percent,Ixodida,Ixodidae,Trait: hatch rate. Definition: percentage of egg masses producing larvae. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
hatch ratio,hatching ratio of eggs,percent,Ixodida,Ixodidae,Trait: hatch ratio. Definition: hatching ratio of eggs. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
hatchability,mean percentage of eggs hatching,percent,Coleoptera,Coccinellidae,Trait: hatchability. Definition: mean percentage of eggs hatching. Unit: percent. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,8,,,,,,,,,,,
hatchability,the percent of laid eggs that successfully hatched,percent,Ixodida,Ixodidae,Trait: hatchability. Definition: the percent of laid eggs that successfully hatched. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
hatchability,percent of eggs successfully hatching based on the day of oviposition during which it was laid,percent,Ixodida,Ixodidae,Trait: hatchability. Definition: percent of eggs successfully hatching based on the day of oviposition during which it was laid. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
hatchability,percent surviving life stage,percent,Ixodida,Ixodidae,Trait: hatchability. Definition: percent surviving life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
hatching rate,percent surviving life stage,percent,Homoptera,Pseudococcidae,Trait: hatching rate. Definition: percent surviving life stage. Unit: percent. Organism order: Homoptera. Organism family: Pseudococcidae.,v5,8,,,,,,,,,,,
larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Ixodida,Ixodidae,Trait: larval hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,8,,,,,,,,,,,
molt success rate (larval),percentage that molted,percent,Ixodida,Ixodidae,Trait: molt success rate (larval). Definition: percentage that molted. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,9,,,,,,,,,,,
molt success rate (larval),percentage that molted during life stage,percent,Ixodida,Ixodidae,Trait: molt success rate (larval). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,9,,,,,,,,,,,
molt success rate (nymphal),percentage that molted,percent,Ixodida,Ixodidae,Trait: molt success rate (nymphal). Definition: percentage that molted. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,9,,,,,,,,,,,
molt success rate (nymphal),percentage that molted during life stage,percent,Ixodida,Ixodidae,Trait: molt success rate (nymphal). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,9,,,,,,,,,,,
molting ratio (larval),percentage that molted during life stage,percent,Ixodida,Ixodidae,Trait: molting ratio (larval). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,9,,,,,,,,,,,
molting ratio (nymphal),percentage that molted during life stage,percent,Ixodida,Ixodidae,Trait: molting ratio (nymphal). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,9,,,,,,,,,,,
mortality (adult),mean duration for 100% mortality (unfed adults),weeks,Ixodida,Ixodidae,Trait: mortality (adult). Definition: mean duration for 100% mortality (unfed adults). Unit: weeks. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,Survival time and mortality (adult) grouped together Ñ over-merging,,,,,,,,,
survival time,mean survival time of fasting larvae,days,Ixodida,Ixodidae,Trait: survival time. Definition: mean survival time of fasting larvae. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
survival time,mean survival time of larvae post hatch,days,Ixodida,Ixodidae,Trait: survival time. Definition: mean survival time of larvae post hatch. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
survival time,mean survival time of fasting nymphs,days,Ixodida,Ixodidae,Trait: survival time. Definition: mean survival time of fasting nymphs. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
survival time,mean time for egg survival,days,Ixodida,Ixodidae,Trait: survival time. Definition: mean time for egg survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
survival time,mean time for unfed larva survival,days,Ixodida,Ixodidae,Trait: survival time. Definition: mean time for unfed larva survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
survival time,mean time for engorged nymph survival,days,Ixodida,Ixodidae,Trait: survival time. Definition: mean time for engorged nymph survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
survival time,mean time for unfed adult survival,days,Ixodida,Ixodidae,Trait: survival time. Definition: mean time for unfed adult survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
survival time,mean time for engorged adult survival,days,Ixodida,Ixodidae,Trait: survival time. Definition: mean time for engorged adult survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
survival time,average number of days unfed nymphs survived,days,Ixodida,Ixodidae,Trait: survival time. Definition: average number of days unfed nymphs survived. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,10,,,,,,,,,,,
Development Rate,percent of immature stages remaining x days after attatchment,percent,Ixodida,Ixodidae,Trait: Development Rate. Definition: percent of immature stages remaining x days after attatchment. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,11,,,,,,,,,,,
Development Rate,Percent of emerging males who develop on day X after attatchment (premolt period),percent,Ixodida,Ixodidae,Trait: Development Rate. Definition: Percent of emerging males who develop on day X after attatchment (premolt period). Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,11,,,,,,,,,,,
Development Rate,Percent of emerging females who develop on day X after attatchment (premolt period),percent,Ixodida,Ixodidae,Trait: Development Rate. Definition: Percent of emerging females who develop on day X after attatchment (premolt period). Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,11,,,,,,,,,,,
Development Rate (Larva),1 / development time of Engorged Larva,days-1,Ixodida,Ixodidae,Trait: Development Rate (Larva). Definition: 1 / development time of Engorged Larva. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,11,,,,,,,,,,,
Development Rate (Nymph),1 / development time of Engorged Nymph,days-1,Ixodida,Ixodidae,Trait: Development Rate (Nymph). Definition: 1 / development time of Engorged Nymph. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,11,,,,,,,,,,,
development rate,mean development rate per day,percent day-1,Ixodida,Ixodidae,Trait: development rate. Definition: mean development rate per day. Unit: percent day-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,11,,,,,,,,,,,
mortality,percent not surviving life stage,percent,Homoptera,Aphididae,Trait: mortality. Definition: percent not surviving life stage. Unit: percent. Organism order: Homoptera. Organism family: Aphididae.,v5,12,,Survival rate split across two clusters (12 and 13). Cluster 12 mixes survival and mortality,,,,,,,,,
mortality,proportion not surviving life stage,proportion,Hemiptera,Aphididae,Trait: mortality. Definition: proportion not surviving life stage. Unit: proportion. Organism order: Hemiptera. Organism family: Aphididae.,v5,12,,,,,,,,,,,
mortality,percentage not surviving life stage,percent,Diptera,Culicidae,Trait: mortality. Definition: percentage not surviving life stage. Unit: percent. Organism order: Diptera. Organism family: Culicidae.,v5,12,,,,,,,,,,,
mortality,mean percent not surviving life stage,percent,Hemiptera,Psyllidae,Trait: mortality. Definition: mean percent not surviving life stage. Unit: percent. Organism order: Hemiptera. Organism family: Psyllidae.,v5,12,,,,,,,,,,,
mortality rate,per capita daily mortality,individual-1 day-1,Diptera,Culicidae,Trait: mortality rate. Definition: per capita daily mortality. Unit: individual-1 day-1. Organism order: Diptera. Organism family: Culicidae.,v5,12,,,,,,,,,,,
mortality rate,mean per capita rate of mortality during life stage,individual-1 day-1,Diptera,Culicidae,Trait: mortality rate. Definition: mean per capita rate of mortality during life stage. Unit: individual-1 day-1. Organism order: Diptera. Organism family: Culicidae.,v5,12,,,,,,,,,,,
mortality rate,mean death rate during life stage,individual-1 day-1,Diptera,Culicidae,Trait: mortality rate. Definition: mean death rate during life stage. Unit: individual-1 day-1. Organism order: Diptera. Organism family: Culicidae.,v5,12,,,,,,,,,,,
mortality rate,individual-level per capita daily rate of mortality,indivdual-1 day-1,Diptera,Glossinidae,Trait: mortality rate. Definition: individual-level per capita daily rate of mortality. Unit: indivdual-1 day-1. Organism order: Diptera. Organism family: Glossinidae.,v5,12,,,,,,,,,,,
survival,proportion surviving life stage,proportion,Hemiptera,Aphididae,Trait: survival. Definition: proportion surviving life stage. Unit: proportion. Organism order: Hemiptera. Organism family: Aphididae.,v5,12,,,,,,,,,,,
survival,percent surviving life stage,percent,Hemiptera,Pseudococcidae,Trait: survival. Definition: percent surviving life stage. Unit: percent. Organism order: Hemiptera. Organism family: Pseudococcidae.,v5,12,,,,,,,,,,,
survival,proportion of individuals surviving life stage (emergence rate),proportion,Diptera,Culicidae,Trait: survival. Definition: proportion of individuals surviving life stage (emergence rate). Unit: proportion. Organism order: Diptera. Organism family: Culicidae.,v5,12,,,,,,,,,,,
survival rate,mean percentage surviving life stage,percent,Hymenoptera,Eulophidae,Trait: survival rate. Definition: mean percentage surviving life stage. Unit: percent. Organism order: Hymenoptera. Organism family: Eulophidae.,v5,12,,,,,,,,,,,
survival rate,percentage of ticks that survived the larval stage,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived the larval stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived the larval moult,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived the larval moult. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived the nymphal moult,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived the nymphal moult. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived adult engorgement,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived adult engorgement. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived the nymphal stage,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived the nymphal stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percent surviving to oviposition,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percent surviving to oviposition. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percent surviving life stage,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percent surviving life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived the adult stage,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived the adult stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of starved larval ticks that survived to the days listed,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of starved larval ticks that survived to the days listed. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of unfed adults that survive,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of unfed adults that survive. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived at 5 degrees celcius,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived at 5 degrees celcius. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived at 17 degrees celcius,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived at 17 degrees celcius. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived at 24 degrees celcius,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived at 24 degrees celcius. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of ticks that survived at 30 degrees celcius,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of ticks that survived at 30 degrees celcius. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
survival rate,percentage of larval ticks that molted following engorgement,percent,Ixodida,Ixodidae,Trait: survival rate. Definition: percentage of larval ticks that molted following engorgement. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,13,,,,,,,,,,,
Longevity,"sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive)",days,Hemiptera,Aphididae,"Trait: Longevity. Definition: sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive). Unit: days. Organism order: Hemiptera. Organism family: Aphididae.",v5,14,,,,,,,,,,,
adult longevity,lifespan over time,days,Hemiptera,Aphididae,Trait: adult longevity. Definition: lifespan over time. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
adult longevity,period from adult emergence until death,days,Hemiptera,Aphididae,Trait: adult longevity. Definition: period from adult emergence until death. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
adult longevity,lifespan of adult aphids,days,Hemiptera,Aphididae,Trait: adult longevity. Definition: lifespan of adult aphids. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
aphid longevity,lifespan of aphids,days,Hemiptera,Aphididae,Trait: aphid longevity. Definition: lifespan of aphids. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity,mean duration of life stage,days,Hemiptera,Aphididae,Trait: longevity. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity,median duration of life stage,days,Hemiptera,Aleyrodidae,Trait: longevity. Definition: median duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aleyrodidae.,v5,14,,,,,,,,,,,
longevity,individual-level duration of life stage,days,Diptera,Culicidae,Trait: longevity. Definition: individual-level duration of life stage. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,14,,,,,,,,,,,
longevity,mean duration of life stage as a function of body size,days,Coleoptera,Tenebrionidae,Trait: longevity. Definition: mean duration of life stage as a function of body size. Unit: days. Organism order: Coleoptera. Organism family: Tenebrionidae.,v5,14,,,,,,,,,,,
longevity,mean duration of life,days,Hemiptera,Liviidae,Trait: longevity. Definition: mean duration of life. Unit: days. Organism order: Hemiptera. Organism family: Liviidae.,v5,14,,,,,,,,,,,
longevity,percent not surviving life stage,days,Hemiptera,Aphididae,Trait: longevity. Definition: percent not surviving life stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
