OriginalTraitName,OriginalTraitDef,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
engorgement period,average duration of engorgement on rabbits,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hatchability,percent of eggs successfully hatching based on the day of oviposition during which it was laid,21,12,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
feeding time,time required for larval ticks to reach engorgement post attachment,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
molting period,time required for engorged larval ticks to molt,26,-1,-1,-1,17,16,17,12,15,17,18,18,19,17,19,19,20,-1,-1,-1
survival rate,percentage of larval ticks that molted following engorgement,16,14,17,11,12,12,12,14,12,13,13,14,12,10,14,10,15,13,13,15
preoviposition period,mean time until onset of oviposition,27,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
pre hatching period,mean time until hatching,21,-1,-1,-1,16,-1,11,11,14,19,20,21,18,20,-1,-1,21,21,19,21
hatching period,mean time from initiation to completion of hatching,21,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
egg conversion ratio,mean weight of eggs / mean weight of engorged females,-1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
hatchability,percent surviving life stage,21,12,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
questing,mean percent of ticks questing,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
preoviposition,Mean preoviposition period in days,27,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
oviposition,Mean ovipostion period in days,-1,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
conversion efficiency,Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
egg hatch,Mean percentage of eggs hatched,21,-1,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
incubation period,mean egg incubation period,4,9,11,16,16,14,11,11,14,19,20,21,18,20,21,18,17,18,17,20
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Distance Traveled,Average distance covered per hour while questing,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mortality Rate,number that survived the 38 hours,15,-1,-1,-1,-1,-1,-1,-1,11,9,13,-1,12,10,14,10,15,13,13,15
Mortality Rate,number that survived the 43 hours,15,-1,-1,-1,-1,-1,-1,-1,11,9,13,-1,12,10,14,10,15,13,-1,15
Water loss,Water loss of ticks exposed to dry air for 24 hours,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,5,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Water loss,Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Development time,Mean time from engorgement to moulting,-1,15,15,12,15,15,18,18,19,25,25,25,25,23,24,23,23,23,23,23
Mortality Rate,Percent mortality in engorged ticks before moulting,15,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,10,-1,-1,-1,-1,-1,-1
Oviposition Period,Oviposition Period 1/period(day) in engorged females,28,-1,14,-1,20,-1,20,20,21,23,23,20,21,21,22,21,21,21,19,21
Pre-Oviposition Period in engorged females,Pre-Oviposition Period in engorged females,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,23,20,21,21,22,21,21,21,19,21
Development Rate (Egg),1 / time for egg incubation across const temps,6,-1,-1,-1,-1,-1,-1,-1,-1,20,17,17,17,19,17,16,16,16,16,16
Development Rate (Larva),1 / development time of Engorged Larva,6,-1,-1,13,13,-1,-1,-1,-1,20,17,17,17,19,17,16,16,16,16,16
Development Rate (Nymph),1 / development time of Engorged Nymph,-1,-1,-1,13,13,-1,15,16,17,20,17,17,17,19,17,16,16,16,16,16
preoviposition period,Mean Pre-Oviposition Period,27,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
incubation period,Mean Incubation Period,4,9,11,16,16,14,11,11,14,19,20,21,18,20,21,18,17,18,17,20
oviposition,daily average number of eggs / female,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Body Mass,Weight of an individual engorged female,20,4,7,7,6,7,7,7,7,6,7,7,7,7,9,7,7,7,7,7
Egg Mass,Weight of eggs laid by an individual female,10,4,8,7,6,7,7,7,7,6,7,7,7,7,8,7,7,7,7,7
Body Mass,mean daily weight of larvae during their feeding periods,20,4,7,7,6,7,7,7,7,6,7,7,7,7,9,7,7,7,7,7
Body Mass,mean daily weight of nymphs during their pharate periods,20,4,7,7,6,7,7,7,7,6,7,7,7,7,9,7,7,7,7,7
Body Mass,mean daily weight of nymphs during their feeding periods,20,4,7,7,6,7,7,7,7,6,7,7,7,7,9,7,7,7,7,7
Development Rate,percent of immature stages remaining x days after attatchment,6,-1,-1,13,13,-1,15,16,17,20,17,17,17,19,17,16,16,16,16,16
Development Rate,Percent of emerging males who develop on day X after attatchment (premolt period),6,-1,-1,13,13,-1,15,16,17,20,17,17,17,19,17,16,16,16,16,16
Development Rate,Percent of emerging females who develop on day X after attatchment (premolt period),6,-1,-1,13,13,-1,15,16,17,20,17,17,17,19,17,16,16,16,16,16
